Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618393246536,14/04/2021 09:40:46,1618393246309,1,14/04/2021 10:40:46,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x657,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618393248661,14/04/2021 09:40:48,1618393248531,1,14/04/2021 10:40:48,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x657,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,1,1,1,check,script,force_advance,2199.9579999999996,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618393259246,14/04/2021 09:40:59,1618393258584,1,14/04/2021 10:40:58,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,,,,,,,,LOADING DELAY,,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,
4,1618393263284,14/04/2021 09:41:03,1618393263145,1,14/04/2021 10:41:03,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,3,1,1,filler_start_fixation,fixation,fixation,450.1130000000012,,,,,0,1,0,,,,,1,red.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
5,1618393406538,14/04/2021 09:43:26,1618393405849,1,14/04/2021 10:43:25,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,3,1,2,filler_start_stim,Zone2,response_button_image,142686.19000000035,,,drawingplusword.png,1,0,1,0,,,,,1,red.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1618393406853,14/04/2021 09:43:26,1618393406711,1,14/04/2021 10:43:26,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,2,2,1,filler_start_fixation,fixation,fixation,450.3760000000184,,,,,0,1,0,,,,,1,red.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
7,1618393408630,14/04/2021 09:43:28,1618393408496,1,14/04/2021 10:43:28,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,2,2,2,filler_start_stim,Zone2,response_button_image,1765.9450000000943,,,drawingplusword.png,1,1,0,0,,,,,1,red.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
8,1618393409534,14/04/2021 09:43:29,1618393409411,1,14/04/2021 10:43:29,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,14,1,1,fixation,fixation,fixation,499.997000000003,,,,,0,1,0,,,,,2,red.study__pics.word,drawingplusword.png,goat--drawing-word.png
9,1618393410585,14/04/2021 09:43:30,1618393410462,1,14/04/2021 10:43:30,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,14,1,2,study_stim,Zone2,response_button_image,1038.9799999993702,,,drawingplusword.png,1,1,0,0,,,,,2,red.study__pics.word,drawingplusword.png,goat--drawing-word.png
10,1618393411520,14/04/2021 09:43:31,1618393411378,1,14/04/2021 10:43:31,47727,6,task-pifd,,11892774,14587,3603574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.63,1366x768,1366x768,Test finished,red.study__pics.word,4,Consent Given,Consented,Test finished,red,Red,red.order1,,,,red.order1__finished,,,,,,,,Distractor finished,,,,,,,,,,,,,red.study__pics.word,red.study__pics.word,10,2,1,fixation,fixation,fixation,499.987999999983,,,,,0,1,0,,,,,2,red.study__pics.word,drawingplusword.png,ladder--drawing-word.png
