Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617464989377,03/04/2021 15:49:49,1617464989580,1,03/04/2021 16:49:49,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x969,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617464991115,03/04/2021 15:49:51,1617464991365,1,03/04/2021 16:49:51,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x969,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,1,1,1,check,script,force_advance,1783.355,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617464991560,03/04/2021 15:49:51,1617464991803,1,03/04/2021 16:49:51,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,450.03999999999996,,,,,0,1,0,,,,,1,teal.study__pics.only__filler.start,photo.png,hand--photo.png
4,1617464993606,03/04/2021 15:49:53,1617464993848,1,03/04/2021 16:49:53,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,2010.5299999704584,,,photo.png,1,1,0,0,,,,,1,teal.study__pics.only__filler.start,photo.png,hand--photo.png
5,1617464994474,03/04/2021 15:49:54,1617464994718,1,03/04/2021 16:49:54,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,449.9279999999999,,,,,0,1,0,,,,,1,teal.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1617464996147,03/04/2021 15:49:56,1617464996415,1,03/04/2021 16:49:56,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,1668.5300000244752,,,drawing.png,1,1,0,0,,,,,1,teal.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1617464997077,03/04/2021 15:49:57,1617464997336,1,03/04/2021 16:49:57,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,21,1,1,fixation,fixation,fixation,499.97000000000025,,,,,0,1,0,,,,,2,teal.study__pics.only,photo.png,book--photo.png
8,1617464998229,03/04/2021 15:49:58,1617464998489,1,03/04/2021 16:49:58,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,21,1,2,study_stim,Zone1,response_button_image,1120.809999993071,,,photo.png,1,1,0,0,,,,,2,teal.study__pics.only,photo.png,book--photo.png
9,1617464999323,03/04/2021 15:49:59,1617464999402,1,03/04/2021 16:49:59,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,35,2,1,fixation,fixation,fixation,499.97799999999916,,,,,0,1,0,,,,,2,teal.study__pics.only,photo.png,whistle--photo.png
10,1617465000880,03/04/2021 15:50:00,1617465001147,1,03/04/2021 16:50:01,47727,6,task-pygj,,11625409,14458,3534044,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 89.0.774.68,1920x1080,1920x1080,Test finished,teal.study__pics.only,2,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,teal.order1__finished,,,,teal.order1,,,,,,,,teal.study__pics.only,teal.study__pics.only,35,2,2,study_stim,Zone1,response_button_image,1715.425000002142,,,photo.png,1,1,0,0,,,,,2,teal.study__pics.only,photo.png,whistle--photo.png
