Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617894419551,08/04/2021 15:06:59,1617894419473,1,08/04/2021 16:06:59,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x741,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617894420453,08/04/2021 15:07:00,1617894420308,1,08/04/2021 16:07:00,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x741,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,1,1,1,check,script,force_advance,816.6339999999999,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617894420841,08/04/2021 15:07:00,1617894420762,1,08/04/2021 16:07:00,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,466.64800000000014,,,,,0,1,0,,,,,1,purple.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1617894423200,08/04/2021 15:07:03,1617894423136,1,08/04/2021 16:07:03,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,2353.934999991907,,,drawing.png,1,1,0,0,,,,,1,purple.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1617894424069,08/04/2021 15:07:04,1617894424005,1,08/04/2021 16:07:04,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,449.98199999999997,,,,,0,1,0,,,,,1,purple.study__pics.only__filler.start,photo.png,hand--photo.png
6,1617894425311,08/04/2021 15:07:05,1617894425254,1,08/04/2021 16:07:05,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,1229.6449999994365,,,photo.png,1,1,0,0,,,,,1,purple.study__pics.only__filler.start,photo.png,hand--photo.png
7,1617894426211,08/04/2021 15:07:06,1617894426171,1,08/04/2021 16:07:06,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,5,1,1,fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,2,purple.study__pics.only,drawing.png,book--drawing.png
8,1617894427296,08/04/2021 15:07:07,1617894427245,1,08/04/2021 16:07:07,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,5,1,2,study_stim,Zone2,response_button_image,1057.5149999931455,,,drawing.png,1,1,0,0,,,,,2,purple.study__pics.only,drawing.png,book--drawing.png
9,1617894428222,08/04/2021 15:07:08,1617894428171,1,08/04/2021 16:07:08,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,31,2,1,fixation,fixation,fixation,499.97999999999956,,,,,0,1,0,,,,,2,purple.study__pics.only,photo.png,stool--photo.png
10,1617894429374,08/04/2021 15:07:09,1617894429317,1,08/04/2021 16:07:09,47727,6,task-qvph,,11729189,14597,3563575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x900,Test finished,purple.study__pics.only,2,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.only,purple.study__pics.only,31,2,2,study_stim,Zone1,response_button_image,1127.5600000080885,,,photo.png,1,1,0,0,,,,,2,purple.study__pics.only,photo.png,stool--photo.png
