Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617883035239,08/04/2021 11:57:15,1617883035042,1,08/04/2021 12:57:15,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x649,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617883037855,08/04/2021 11:57:17,1617883037674,1,08/04/2021 12:57:17,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x649,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,1,1,1,check,script,force_advance,2633.1319999999996,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617883038380,08/04/2021 11:57:18,1617883038107,1,08/04/2021 12:57:18,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,3,1,1,filler_start_fixation,fixation,fixation,450.0500000000002,,,,,0,1,0,,,,,1,green.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
4,1617883047657,08/04/2021 11:57:27,1617883047522,1,08/04/2021 12:57:27,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,3,1,2,filler_start_stim,Zone1,response_button_image,9357.164999993984,,,photoplusword.png,1,1,0,0,,,,,1,green.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
5,1617883048516,08/04/2021 11:57:28,1617883048373,1,08/04/2021 12:57:28,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,2,2,1,filler_start_fixation,fixation,fixation,450.0119999999988,,,,,0,1,0,,,,,1,green.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
6,1617883051876,08/04/2021 11:57:31,1617883051734,1,08/04/2021 12:57:31,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,2,2,2,filler_start_stim,Zone2,response_button_image,3298.0349999997998,,,drawingplusword.png,1,1,0,0,,,,,1,green.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
7,1617883052804,08/04/2021 11:57:32,1617883052639,1,08/04/2021 12:57:32,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,24,1,1,fixation,fixation,fixation,499.97499999999854,,,,,0,1,0,,,,,2,green.study__pics.word,photoplusword.png,kite--photo-word.png
8,1617883055061,08/04/2021 11:57:35,1617883054921,1,08/04/2021 12:57:34,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,24,1,2,study_stim,Zone1,response_button_image,2243.2950000002165,,,photoplusword.png,1,1,0,0,,,,,2,green.study__pics.word,photoplusword.png,kite--photo-word.png
9,1617883055991,08/04/2021 11:57:35,1617883055823,1,08/04/2021 12:57:35,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,27,2,1,fixation,fixation,fixation,499.96700000000055,,,,,0,1,0,,,,,2,green.study__pics.word,photoplusword.png,broom--photo-word.png
10,1617883057648,08/04/2021 11:57:37,1617883057503,1,08/04/2021 12:57:37,47727,6,task-vbdo,,11722824,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.word,4,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.word,green.study__pics.word,27,2,2,study_stim,Zone1,response_button_image,1608.155000001716,,,photoplusword.png,1,1,0,0,,,,,2,green.study__pics.word,photoplusword.png,broom--photo-word.png
