Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1617883147533,08/04/2021 11:59:07,1617883147325,1,08/04/2021 12:59:07,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x649,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1617883148966,08/04/2021 11:59:08,1617883148793,1,08/04/2021 12:59:08,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x649,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,1,1,1,check,script,force_advance,1466.598,,,,,0,1,0,,,,,,fullscreen_check,,
3,1617883149373,08/04/2021 11:59:09,1617883149235,1,08/04/2021 12:59:09,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,2,1,1,filler_start_fixation,fixation,fixation,449.98799999999983,,,,,0,1,0,,,,,1,green.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
4,1617883150830,08/04/2021 11:59:10,1617883150692,1,08/04/2021 12:59:10,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,2,1,2,filler_start_stim,Zone2,response_button_image,1399.729999997362,,,drawing.png,1,1,0,0,,,,,1,green.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
5,1617883151705,08/04/2021 11:59:11,1617883151551,1,08/04/2021 12:59:11,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,3,2,1,filler_start_fixation,fixation,fixation,450,,,,,0,1,0,,,,,1,green.study__pics.only__filler.start,photo.png,hand--photo.png
6,1617883153037,08/04/2021 11:59:13,1617883152889,1,08/04/2021 12:59:12,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,3,2,2,filler_start_stim,Zone1,response_button_image,1272.515000004205,,,photo.png,1,1,0,0,,,,,1,green.study__pics.only__filler.start,photo.png,hand--photo.png
7,1617883153950,08/04/2021 11:59:13,1617883153801,1,08/04/2021 12:59:13,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,7,1,1,fixation,fixation,fixation,499.96799999999985,,,,,0,1,0,,,,,2,green.study__pics.only,drawing.png,grapes--drawing.png
8,1617883155482,08/04/2021 11:59:15,1617883155325,1,08/04/2021 12:59:15,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,7,1,2,study_stim,Zone2,response_button_image,1467.4449999947683,,,drawing.png,1,1,0,0,,,,,2,green.study__pics.only,drawing.png,grapes--drawing.png
9,1617883156378,08/04/2021 11:59:16,1617883156235,1,08/04/2021 12:59:16,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,4,2,1,fixation,fixation,fixation,499.97599999999875,,,,,0,1,0,,,,,2,green.study__pics.only,drawing.png,violin--drawing.png
10,1617883157396,08/04/2021 11:59:17,1617883157259,1,08/04/2021 12:59:17,47727,6,task-wmoz,,11722884,14123,3561807,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1366x768,1366x768,Test finished,green.study__pics.only,2,Consent Given,Consented,Test finished,green,Green,,,,green.order2,,,,,,,,green.order2__finished,Distractor finished,,,,,,,,,,,,,green.study__pics.only,green.study__pics.only,4,2,2,study_stim,Zone2,response_button_image,967.8150000036112,,,drawing.png,1,1,0,0,,,,,2,green.study__pics.only,drawing.png,violin--drawing.png
