Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Randomise questionnaire elements?,Question Key,Response
1,1618845627931,19/04/2021 15:20:27,1618845627823,1,19/04/2021 16:20:27,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1618845729323,19/04/2021 15:22:09,1618845729271,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,rec_justification,i'm pretty sure/ 100% sure i saw it
3,1618845729378,19/04/2021 15:22:09,1618845729272,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,fam_justification,i think i saw but wasn't sure
4,1618845729378,19/04/2021 15:22:09,1618845729272,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,guess_justification,i didn't use it
5,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,mem_skills_1,the same
6,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,mem_skills_1-quantised,3
7,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,mem_skills_2,a little better
8,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,mem_skills_2-quantised,2
9,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,attention_check,a lot better
10,1618845729378,19/04/2021 15:22:09,1618845729273,1,19/04/2021 16:22:09,47727,7,questionnaire-h32i,,12017214,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1265x689,Test finished,RFG Justifications,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,No,attention_check-quantised,1
