Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618851853825,19/04/2021 17:04:13,1618851853555,1,19/04/2021 18:04:13,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x746,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618851857280,19/04/2021 17:04:17,1618851857061,1,19/04/2021 18:04:17,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x746,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,1,1,1,check,script,force_advance,3497.1150000000002,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618851857749,19/04/2021 17:04:17,1618851857497,1,19/04/2021 18:04:17,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,2,1,1,filler_start_fixation,fixation,fixation,449.6210000000001,,,,,0,1,0,,,,,1,purple.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
4,1618851862737,19/04/2021 17:04:22,1618851862511,1,19/04/2021 18:04:22,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,2,1,2,filler_start_stim,Zone2,response_button_image,4959.464999999909,,,drawingplusword.png,1,1,0,0,,,,,1,purple.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
5,1618851863560,19/04/2021 17:04:23,1618851863360,1,19/04/2021 18:04:23,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,3,2,1,filler_start_fixation,fixation,fixation,449.64300000000003,,,,,0,1,0,,,,,1,purple.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
6,1618851865465,19/04/2021 17:04:25,1618851865280,1,19/04/2021 18:04:25,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,3,2,2,filler_start_stim,Zone1,response_button_image,1861.4400000005844,,,photoplusword.png,1,1,0,0,,,,,1,purple.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
7,1618851866388,19/04/2021 17:04:26,1618851866191,1,19/04/2021 18:04:26,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,23,1,1,fixation,fixation,fixation,499.58200000000033,,,,,0,1,0,,,,,2,purple.study__pics.word,photoplusword.png,lion--photo-word.png
8,1618851871768,19/04/2021 17:04:31,1618851871528,1,19/04/2021 18:04:31,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,23,1,2,study_stim,Zone2,response_button_image,5290.224999998827,,,drawingplusword.png,1,0,1,0,,,,,2,purple.study__pics.word,photoplusword.png,lion--photo-word.png
9,1618851872647,19/04/2021 17:04:32,1618851872436,1,19/04/2021 18:04:32,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,25,2,1,fixation,fixation,fixation,499.58899999999994,,,,,0,1,0,,,,,2,purple.study__pics.word,photoplusword.png,duck--photo-word.png
10,1618851875424,19/04/2021 17:04:35,1618851875221,1,19/04/2021 18:04:35,47727,7,task-1nqy,,12020048,13900,3636236,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.72.0,Chrome 89.0.4389.116,1536x864,1536x864,Test finished,purple.study__pics.word,4,Consent Given,Consented,Test finished,purple,Purple,,,,,,,,,,,,,Distractor finished,,,,,,,purple.order2,,,purple.order2__finished,,,purple.study__pics.word,purple.study__pics.word,25,2,2,study_stim,Zone1,response_button_image,2726.0949999999866,,,photoplusword.png,1,1,0,0,,,,,2,purple.study__pics.word,photoplusword.png,duck--photo-word.png
