Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618847411268,19/04/2021 15:50:11,1618847408573,1,19/04/2021 16:50:08,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x657,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618847412691,19/04/2021 15:50:12,1618847410081,1,19/04/2021 16:50:10,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x657,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,1,1,1,check,script,force_advance,1498.544,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618847413065,19/04/2021 15:50:13,1618847410517,1,19/04/2021 16:50:10,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,3,1,1,filler_start_fixation,fixation,fixation,449.567,,,,,0,1,0,,,,,1,yellow.study__pics.only__filler.start,photo.png,hand--photo.png
4,1618847415741,19/04/2021 15:50:15,1618847413122,1,19/04/2021 16:50:13,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,3,1,2,filler_start_stim,Zone1,response_button_image,2583.9299999643117,,,photo.png,1,1,0,0,,,,,1,yellow.study__pics.only__filler.start,photo.png,hand--photo.png
5,1618847416549,19/04/2021 15:50:16,1618847413998,1,19/04/2021 16:50:13,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,2,2,1,filler_start_fixation,fixation,fixation,449.5720000000001,,,,,0,1,0,,,,,1,yellow.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
6,1618847417663,19/04/2021 15:50:17,1618847415105,1,19/04/2021 16:50:15,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,2,2,2,filler_start_stim,Zone2,response_button_image,1085.5250000022352,,,drawing.png,1,1,0,0,,,,,1,yellow.study__pics.only__filler.start,drawing.png,butterfly--drawing.png
7,1618847418585,19/04/2021 15:50:18,1618847416029,1,19/04/2021 16:50:16,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,24,1,1,fixation,fixation,fixation,499.4950000000008,,,,,0,1,0,,,,,2,yellow.study__pics.only,photo.png,kite--photo.png
8,1618847419989,19/04/2021 15:50:19,1618847417432,1,19/04/2021 16:50:17,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,24,1,2,study_stim,Zone1,response_button_image,1387.929999968037,,,photo.png,1,1,0,0,,,,,2,yellow.study__pics.only,photo.png,kite--photo.png
9,1618847420914,19/04/2021 15:50:20,1618847418360,1,19/04/2021 16:50:18,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,10,2,1,fixation,fixation,fixation,499.33799999999974,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,corn--drawing.png
10,1618847422088,19/04/2021 15:50:22,1618847419506,1,19/04/2021 16:50:19,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,10,2,2,study_stim,Zone2,response_button_image,1134.895000141114,,,drawing.png,1,1,0,0,,,,,2,yellow.study__pics.only,drawing.png,corn--drawing.png
11,1618847422981,19/04/2021 15:50:22,1618847420424,1,19/04/2021 16:50:20,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,35,3,1,fixation,fixation,fixation,499.478000000001,,,,,0,1,0,,,,,2,yellow.study__pics.only,photo.png,knife--photo.png
12,1618847424497,19/04/2021 15:50:24,1618847421933,1,19/04/2021 16:50:21,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,35,3,2,study_stim,Zone1,response_button_image,1494.0249999053776,,,photo.png,1,1,0,0,,,,,2,yellow.study__pics.only,photo.png,knife--photo.png
13,1618847425405,19/04/2021 15:50:25,1618847422855,1,19/04/2021 16:50:22,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,32,4,1,fixation,fixation,fixation,499.46600000000035,,,,,0,1,0,,,,,2,yellow.study__pics.only,photo.png,thimble--photo.png
14,1618847426846,19/04/2021 15:50:26,1618847424228,1,19/04/2021 16:50:24,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,32,4,2,study_stim,Zone1,response_button_image,1360.92000012286,,,photo.png,1,1,0,0,,,,,2,yellow.study__pics.only,photo.png,thimble--photo.png
15,1618847427705,19/04/2021 15:50:27,1618847425153,1,19/04/2021 16:50:25,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,6,5,1,fixation,fixation,fixation,499.53900000000067,,,,,0,1,0,,,,,2,yellow.study__pics.only,drawing.png,celery--drawing.png
16,1618847428835,19/04/2021 15:50:28,1618847426279,1,19/04/2021 16:50:26,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,6,5,2,study_stim,Zone2,response_button_image,1115.7100000418723,,,drawing.png,1,1,0,0,,,,,2,yellow.study__pics.only,drawing.png,celery--drawing.png
17,1618847429773,19/04/2021 15:50:29,1618847427201,1,19/04/2021 16:50:27,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,25,6,1,fixation,fixation,fixation,499.5560000000005,,,,,0,1,0,,,,,2,yellow.study__pics.only,photo.png,spider--photo.png
18,1618847431191,19/04/2021 15:50:31,1618847428639,1,19/04/2021 16:50:28,47727,7,task-a9z8,,12018115,14479,3635699,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,1366x768,1366x768,Test finished,yellow.study__pics.only,2,Consent Given,Consented,Test finished,yellow,Yellow,,,yellow.order1,,,,,,yellow.order1__finished,,,,Distractor finished,,,,,,,,,,,,,yellow.study__pics.only,yellow.study__pics.only,25,6,2,study_stim,Zone1,response_button_image,1423.1999998446554,,,photo.png,1,1,0,0,,,,,2,yellow.study__pics.only,photo.png,spider--photo.png
