Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1618844885872,19/04/2021 15:08:05,1618844885800,1,19/04/2021 16:08:05,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x689,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1618844887835,19/04/2021 15:08:07,1618844887544,1,19/04/2021 16:08:07,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x689,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,1,1,1,check,script,force_advance,1734.0960000000005,,,,,0,1,0,,,,,,fullscreen_check,,
3,1618844888079,19/04/2021 15:08:08,1618844887978,1,19/04/2021 16:08:07,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,3,1,1,filler_start_fixation,fixation,fixation,450.1979999999994,,,,,0,1,0,,,,,1,blue.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
4,1618844890350,19/04/2021 15:08:10,1618844890329,1,19/04/2021 16:08:10,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,3,1,2,filler_start_stim,Zone1,response_button_image,2321.875000023283,,,photoplusword.png,1,1,0,0,,,,,1,blue.study__pics.word__filler.start,photoplusword.png,dresser--photo-word.png
5,1618844891272,19/04/2021 15:08:11,1618844891193,1,19/04/2021 16:08:11,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,2,2,1,filler_start_fixation,fixation,fixation,450.1980000000003,,,,,0,1,0,,,,,1,blue.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
6,1618844892579,19/04/2021 15:08:12,1618844892543,1,19/04/2021 16:08:12,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,2,2,2,filler_start_stim,Zone2,response_button_image,1310.814999975264,,,drawingplusword.png,1,1,0,0,,,,,1,blue.study__pics.word__filler.start,drawingplusword.png,lightbulb--drawing-word.png
7,1618844893507,19/04/2021 15:08:13,1618844893460,1,19/04/2021 16:08:13,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,30,1,1,fixation,fixation,fixation,500.21999999999935,,,,,0,1,0,,,,,2,blue.study__pics.word,photoplusword.png,bread--photo-word.png
8,1618844894853,19/04/2021 15:08:14,1618844894821,1,19/04/2021 16:08:14,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,30,1,2,study_stim,Zone1,response_button_image,1339.254999998957,,,photoplusword.png,1,1,0,0,,,,,2,blue.study__pics.word,photoplusword.png,bread--photo-word.png
9,1618844895715,19/04/2021 15:08:15,1618844895679,1,19/04/2021 16:08:15,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,14,2,1,fixation,fixation,fixation,500.5659999999989,,,,,0,1,0,,,,,2,blue.study__pics.word,drawingplusword.png,moon--drawing-word.png
10,1618844896997,19/04/2021 15:08:16,1618844896948,1,19/04/2021 16:08:16,47727,7,task-l2v4,,12016883,14710,3635360,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.128,1280x800,1280x800,Test finished,blue.study__pics.word,4,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,blue.study__pics.word,blue.study__pics.word,14,2,2,study_stim,Zone2,response_button_image,1250.049999973271,,,drawingplusword.png,1,1,0,0,,,,,2,blue.study__pics.word,drawingplusword.png,moon--drawing-word.png
