Order,Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,frameRate,B1__DoYouUnderstand,B1VCCD__Mouse.x,B1VCCD__Mouse.y,B1VCCD__Mouse.leftButton,B1VCCD__Mouse.midButton,B1VCCD__Mouse.rightButton,B1VCCD__Mouse.time,B1VCCD__Mouse.clicked_name,B1VCCD__Mouse2.x,B1VCCD__Mouse2.y,B1VCCD__Mouse2.leftButton,B1VCCD__Mouse2.midButton,B1VCCD__Mouse2.rightButton,B1VCCD__Mouse2.time,B1VCCD__Mouse2.clicked_name,VisualComplexity,VisCom__Mouse.x,VisCom__Mouse.y,VisCom__Mouse.leftButton,VisCom__Mouse.midButton,VisCom__Mouse.rightButton,VisCom__Mouse.time,VisCom__Mouse.clicked_name,ColourDiagnosticity,ColDia__Mouse.x,ColDia__Mouse.y,ColDia__Mouse.leftButton,ColDia__Mouse.midButton,ColDia__Mouse.rightButton,ColDia__Mouse.time,ColDia__Mouse.clicked_name
B,"[0.7019940476190476,0.698374255952381]","[0.3921279761904762,0.4280840773809524]","[1,1]","[0,0]","[0,0]","[1.0989999771118164,1.4009997844696045]","[""Welcome__Next""]",[0.698374255952381],[0.4280840773809524],[1],[0],[0],[0.2330000400543213],"[""GenIns__Next""]",2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,Yes,[-0.09878720238095239],[-0.43424107142857143],[1],[0],[0],[0.8819999694824219],"[""B1VCCD__Yes""]","[0.6911532738095238,0.6919122023809524]","[0.4057886904761905,0.4320014880952381]","[1,1]","[0,0]","[0,0]","[1.6119999885559082,2.011000156402588]","[""B1VCCD__Begin""]",VisCom_3,[0.18666666666666668],[-0.13532366071428573],[1],[0],[0],[0.9539999961853027],"[""VisCom__3""]",ColDia_1,[-0.15981026785714286],[-0.33434151785714283],[1],[0],[0],[0.3970000743865967],"[""ColDia__1""]"
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_1,[-0.091328125],[-0.13867931547619047],[1],[0],[0],[0.7849998474121094],"[""VisCom__1""]",ColDia_2,[0.04435639880952381],[-0.32478050595238095],[1],[0],[0],[0.28299999237060547],"[""ColDia__2""]"
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_2,[0.03966517857142857],[-0.14427455357142857],[1],[0],[0],[0.5969998836517334],"[""VisCom__2""]",ColDia_3,[0.1768563988095238],[-0.3418266369047619],[1],[0],[0],[0.19899988174438477],"[""ColDia__3""]"
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_3,[0.1751488095238095],[-0.16819940476190476],[1],[0],[0],[0.5],"[""VisCom__3""]",ColDia_3,[0.17412574404761905],[-0.34392113095238097],[1],[0],[0],[0.39800000190734863],"[""ColDia__3""]"
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_3,"[0.170546875,0.16470238095238096]","[-0.1212983630952381,-0.15255208333333334]","[1,1]","[0,0]","[0,0]","[0.7170000076293945,1.000999927520752]","[""VisCom__3""]",,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_3,[0.18594494047619048],[-0.16094494047619048],[1],[0],[0],[0.6349999904632568],"[""VisCom__3""]",ColDia_3,[0.16536830357142857],[-0.32577008928571427],[1],[0],[0],[0.6330001354217529],"[""ColDia__3""]"
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2019-09-27_12h47.34.512,Subjective Judgments for Photographic Stimuli --- 06,3.1.5,60,,,,,,,,,,,,,,,,VisCom_3,[0.15552455357142858],[-0.16719122023809524],[1],[0],[0],[0.995999813079834],"[""VisCom__3""]",,,,,,,,
