Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,OS,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2NamFam__Mouse.x,B2NamFam__Mouse.y,B2NamFam__Mouse.leftButton,B2NamFam__Mouse.midButton,B2NamFam__Mouse.rightButton,B2NamFam__Mouse.time,B2NamFam__Mouse.clicked_name,B2NamFam__Mouse2.x,B2NamFam__Mouse2.y,B2NamFam__Mouse2.leftButton,B2NamFam__Mouse2.midButton,B2NamFam__Mouse2.rightButton,B2NamFam__Mouse2.time,B2NamFam__Mouse2.clicked_name,Naming_RT,Naming_Response,images6,B2NamResp__Mouse.x,B2NamResp__Mouse.y,B2NamResp__Mouse.leftButton,B2NamResp__Mouse.midButton,B2NamResp__Mouse.rightButton,B2NamResp__Mouse.time,B2NamResp__Mouse.clicked_name,Familiarity,B2FamResp__Mouse.x,B2FamResp__Mouse.y,B2FamResp__Mouse.leftButton,B2FamResp__Mouse.midButton,B2FamResp__Mouse.rightButton,B2FamResp__Mouse.time,B2FamResp__Mouse.clicked_name
[0.6981733630952381],[0.43170386904761904],[1],[0],[0],[1.8869998455047607],"[""Welcome__Next""]",[0.6981733630952381],[0.43170386904761904],[1],[0],[0],[1.5490000247955322],"[""GenIns__Next""]",2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,[-0.017392113095238096],[0.19040550595238095],[1],[0],[0],[1.3959999084472656],"[""CompleteB1__Next""]",Yes,[-0.06704613095238095],[-0.4379910714285714],[1],[0],[0],[1.1119999885559082],"[""B2NamFam__Yes""]",[0.7086644345238096],[0.43274181547619045],[1],[0],[0],[1.9800000190734863],"[""B2NamFam__Begin""]",,trsgesd,images/stimuli/photos/raccoon3-photo-colour.png,[0.6832291666666667],[-0.25713541666666667],[1],[0],[0],[2.002999782562256],"[""B2NamResp__Next""]",Fam_1,[-0.09783854166666667],[-0.33946056547619047],[1],[0],[0],[0.3339998722076416],"[""B2Fam__1""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,rfwa,images/stimuli/photos/whistle3-photo-grey.png,[0.6515922619047619],[-0.2669345238095238],[1],[0],[0],[0.6830000877380371],"[""B2NamResp__Next""]",Fam_2,[0.022935267857142855],[-0.31732886904761903],[1],[0],[0],[0.2330000400543213],"[""B2Fam__2""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,gsewda,images/stimuli/photos/thumb3-photo-grey.png,[0.6758482142857143],[-0.2591220238095238],[1],[0],[0],[0.5989999771118164],"[""B2NamResp__Next""]",Fam_3,[0.18146205357142858],[-0.3302752976190476],[1],[0],[0],[0.33699989318847656],"[""B2Fam__3""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,rgfwa,images/stimuli/photos/flute3-photo-colour.png,[0.6837202380952381],[-0.2719122023809524],[1],[0],[0],[0.6319999694824219],"[""B2NamResp__Next""]",Fam_4,[0.33954613095238095],[-0.3152529761904762],[1],[0],[0],[0.28300023078918457],"[""B2Fam__4""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,regwds,images/stimuli/photos/camel3-photo-grey.png,[0.6481770833333333],[-0.25862723214285716],[1],[0],[0],[0.6989998817443848],"[""B2NamResp__Next""]",Fam_5,[0.46373511904761905],[-0.3263318452380952],[1],[0],[0],[0.2330000400543213],"[""B2Fam__5""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,rthsewsa,images/stimuli/photos/cherry3-photo-grey.png,[0.66125],[-0.2629761904761905],[1],[0],[0],[0.6159999370574951],"[""B2NamResp__Next""]",Fam_1,[-0.09973586309523809],[-0.3490252976190476],[1],[0],[0],[0.2670001983642578],"[""B2Fam__1""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,htgawf,images/stimuli/photos/tomato3-photo-colour.png,[0.6953571428571429],[-0.2545089285714286],[1],[0],[0],[0.6040000915527344],"[""B2NamResp__Next""]",Fam_2,[0.044840029761904765],[-0.3325297619047619],[1],[0],[0],[0.28600001335144043],"[""B2Fam__2""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,rtesf,images/stimuli/photos/eagle3-photo-colour.png,[0.6934970238095238],[-0.26570684523809524],[1],[0],[0],[0.8999998569488525],"[""B2NamResp__Next""]",Fam_3,[0.15603050595238097],[-0.3398251488095238],[1],[0],[0],[0.21799993515014648],"[""B2Fam__3""]"
,,,,,,,,,,,,,,2019-09-27_14h53.19.091,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,htsegfd,images/stimuli/photos/celery3-photo-colour.png,[0.6774107142857143],[-0.24909598214285714],[1],[0],[0],[0.6319999694824219],"[""B2NamResp__Next""]",Fam_4,[0.31265625],[-0.33648809523809525],[1],[0],[0],[0.14899992942810059],"[""B2Fam__4""]"
