Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,OS,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2VCCD__Mouse.x,B2VCCD__Mouse.y,B2VCCD__Mouse.leftButton,B2VCCD__Mouse.midButton,B2VCCD__Mouse.rightButton,B2VCCD__Mouse.time,B2VCCD__Mouse.clicked_name,B2VCCD__Mouse2.x,B2VCCD__Mouse2.y,B2VCCD__Mouse2.leftButton,B2VCCD__Mouse2.midButton,B2VCCD__Mouse2.rightButton,B2VCCD__Mouse2.time,B2VCCD__Mouse2.clicked_name,VisualComplexity,images6,B2VisCom__Mouse.x,B2VisCom__Mouse.y,B2VisCom__Mouse.leftButton,B2VisCom__Mouse.midButton,B2VisCom__Mouse.rightButton,B2VisCom__Mouse.time,B2VisCom__Mouse.clicked_name,ColourDiagnosticity,B2ColDia__Mouse.x,B2ColDia__Mouse.y,B2ColDia__Mouse.leftButton,B2ColDia__Mouse.midButton,B2ColDia__Mouse.rightButton,B2ColDia__Mouse.time,B2ColDia__Mouse.clicked_name
[0.7262834821428571],[0.4257440476190476],[1],[0],[0],[1.3199999332427979],"[""Welcome__Next""]",[0.7262834821428571],[0.4257440476190476],[1],[0],[0],[0.49899983406066895],"[""GenIns__Next""]",2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,[-0.003325892857142857],[0.18498883928571427],[1],[0],[0],[1.0290000438690186],"[""CompleteB1__Next""]",Yes,[-0.0848139880952381],[-0.4289434523809524],[1],[0],[0],[1.2960000038146973],"[""B2VCCD__Yes""]","[0.12753720238095237,0.7036755952380952]","[-0.440703125,0.43098214285714287]","[1,1]","[0,0]","[0,0]","[1.6619999408721924,2.378999948501587]","[""B2VCCD__Begin""]",VisCom_1,images/stimuli/photos/cherry3-photo-grey.png,"[-0.16904761904761906,-0.14682291666666666]","[-0.15445684523809525,-0.15445684523809525]","[1,1]","[0,0]","[0,0]","[0.6860001087188721,1.2360000610351562]","[""B2VisCom__1""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/guitar3-photo-grey.png,[0.0647172619047619],[-0.16921502976190475],[1],[0],[0],[1.3450000286102295],"[""B2VisCom__2""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_1,images/stimuli/photos/bell3-photo-colour.png,[-0.10508556547619048],[-0.17063988095238095],[1],[0],[0],[0.9119999408721924],"[""B2VisCom__1""]",ColDia_1,[-0.12495907738095238],[-0.3299181547619048],[1],[0],[0],[0.3959999084472656],"[""B2ColDia__1""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/nose3-photo-colour.png,[0.040621279761904765],[-0.1680580357142857],[1],[0],[0],[0.8310000896453857],"[""B2VisCom__2""]",ColDia_2,[0.036071428571428574],[-0.3277566964285714],[1],[0],[0],[0.36500000953674316],"[""B2ColDia__2""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/chain3-photo-colour.png,[0.17819940476190477],[-0.15782738095238094],[1],[0],[0],[0.8980000019073486],"[""B2VisCom__3""]",ColDia_3,[0.1789136904761905],[-0.34245535714285713],[1],[0],[0],[0.8329999446868896],"[""B2ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h40.03.881,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/eagle3-photo-colour.png,"[0.16498883928571428,0.16674107142857142]","[-0.11412202380952381,-0.13515252976190475]","[1,1]","[0,0]","[0,0]","[0.5669999122619629,0.8989999294281006]","[""B2VisCom__3""]",ColDia_3,[0.18326636904761906],[-0.3207291666666667],[1],[0],[0],[0.46399998664855957],"[""B2ColDia__3""]"
