Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,Welcome__Repeat__Loop.thisRepN,Welcome__Repeat__Loop.thisTrialN,Welcome__Repeat__Loop.thisN,Welcome__Repeat__Loop.thisIndex,Welcome__Repeat__Loop.ran,Welcome__Repeat__Loop.order,date,expName,psychopyVersion,frameRate,Prolific_ID,Age,Gender,EnglishFirstLang,Ethnicity,EthnicityOther,UsingMac,RetinaScreen,B1__DoYouUnderstand,B1NamFam__Mouse.x,B1NamFam__Mouse.y,B1NamFam__Mouse.leftButton,B1NamFam__Mouse.midButton,B1NamFam__Mouse.rightButton,B1NamFam__Mouse.time,B1NamFam__Mouse.clicked_name,B1NamFam__Mouse2.x,B1NamFam__Mouse2.y,B1NamFam__Mouse2.leftButton,B1NamFam__Mouse2.midButton,B1NamFam__Mouse2.rightButton,B1NamFam__Mouse2.time,B1NamFam__Mouse2.clicked_name,Naming_RT,Naming_Response,NamResp__Mouse.x,NamResp__Mouse.y,NamResp__Mouse.leftButton,NamResp__Mouse.midButton,NamResp__Mouse.rightButton,NamResp__Mouse.time,NamResp__Mouse.clicked_name,Familiarity,FamResp__Mouse.x,FamResp__Mouse.y,FamResp__Mouse.leftButton,FamResp__Mouse.midButton,FamResp__Mouse.rightButton,FamResp__Mouse.time,FamResp__Mouse.clicked_name,Block1__Nam__Fam__Loop.thisRepN,Block1__Nam__Fam__Loop.thisTrialN,Block1__Nam__Fam__Loop.thisN,Block1__Nam__Fam__Loop.thisIndex,Block1__Nam__Fam__Loop.ran,Block1__Nam__Fam__Loop.order,B1NamFam.thisRepN,B1NamFam.thisTrialN,B1NamFam.thisN,B1NamFam.thisIndex,B1NamFam.ran,B1NamFam.order,images1,words,colourorgreyscale,vccdbackground,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2VCCD__Mouse.x,B2VCCD__Mouse.y,B2VCCD__Mouse.leftButton,B2VCCD__Mouse.midButton,B2VCCD__Mouse.rightButton,B2VCCD__Mouse.time,B2VCCD__Mouse.clicked_name,B2VCCD__Mouse2.x,B2VCCD__Mouse2.y,B2VCCD__Mouse2.leftButton,B2VCCD__Mouse2.midButton,B2VCCD__Mouse2.rightButton,B2VCCD__Mouse2.time,B2VCCD__Mouse2.clicked_name,VisualComplexity,VisCom__Mouse.x,VisCom__Mouse.y,VisCom__Mouse.leftButton,VisCom__Mouse.midButton,VisCom__Mouse.rightButton,VisCom__Mouse.time,VisCom__Mouse.clicked_name,ColourDiagnosticity,ColDia__Mouse.x,ColDia__Mouse.y,ColDia__Mouse.leftButton,ColDia__Mouse.midButton,ColDia__Mouse.rightButton,ColDia__Mouse.time,ColDia__Mouse.clicked_name,Block2__VisCom__ColDia__Loop.thisRepN,Block2__VisCom__ColDia__Loop.thisTrialN,Block2__VisCom__ColDia__Loop.thisN,Block2__VisCom__ColDia__Loop.thisIndex,Block2__VisCom__ColDia__Loop.ran,Block2__VisCom__ColDia__Loop.order,B2VCCD.thisRepN,B2VCCD.thisTrialN,B2VCCD.thisN,B2VCCD.thisIndex,B2VCCD.ran,B2VCCD.order,B2__ColDiaLoop.thisRepN,B2__ColDiaLoop.thisTrialN,B2__ColDiaLoop.thisN,B2__ColDiaLoop.thisIndex,B2__ColDiaLoop.ran,B2__ColDiaLoop.order,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,B3MenIma__Mouse.x,B3MenIma__Mouse.y,B3MenIma__Mouse.leftButton,B3MenIma__Mouse.midButton,B3MenIma__Mouse.rightButton,B3MenIma__Mouse.time,B3MenIma__Mouse.clicked_name,B3MenIma__Mouse2.x,B3MenIma__Mouse2.y,B3MenIma__Mouse2.leftButton,B3MenIma__Mouse2.midButton,B3MenIma__Mouse2.rightButton,B3MenIma__Mouse2.time,B3MenIma__Mouse2.clicked_name,MentalImageryAgreement,MenIma__Mouse.x,MenIma__Mouse.y,MenIma__Mouse.leftButton,MenIma__Mouse.midButton,MenIma__Mouse.rightButton,MenIma__Mouse.time,MenIma__Mouse.clicked_name,Block3__Mental__Imagery__Loop.thisRepN,Block3__Mental__Imagery__Loop.thisTrialN,Block3__Mental__Imagery__Loop.thisN,Block3__Mental__Imagery__Loop.thisIndex,Block3__Mental__Imagery__Loop.ran,Block3__Mental__Imagery__Loop.order,Block3__MenIma__RespLoop.thisRepN,Block3__MenIma__RespLoop.thisTrialN,Block3__MenIma__RespLoop.thisN,Block3__MenIma__RespLoop.thisIndex,Block3__MenIma__RespLoop.ran,Block3__MenIma__RespLoop.order,DidYouHearBeep,Debrief_Comments,Debrief__Mouse.x,Debrief__Mouse.y,Debrief__Mouse.leftButton,Debrief__Mouse.midButton,Debrief__Mouse.rightButton,Debrief__Mouse.time,Debrief__Mouse.clicked_name
[0.7000146484375],[0.430126953125],[1],[0],[0],[2.772000000000002],"[""Welcome__Next""]",[0.7075048828125],[0.443291015625],[1],[0],[0],[19.876000000000005],"[""GenIns__Next""]",20,0,20,0,1,19,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,Yes,[-0.0669482421875],[-0.430810546875],[1],[0],[0],[38.632999999999996],"[""B1NamFam__Yes""]",[0.7092822265625],[0.4193701171875],[1],[0],[0],[44.402],"[""B1NamFam__Begin""]",3.185,rabbit,"[0.4784326171875,0.6888037109375]","[-0.3218798828125,-0.27822265625]","[1,1]","[0,0]","[0,0]","[4.135000000000005,5.105000000000004]","[""NamResp__Next""]",Fam_5,"[0.54115234375,0.495224609375]","[-0.3336669921875,-0.3336669921875]","[1,1]","[0,0]","[0,0]","[0.9669999999999987,1.4660000000000082]","[""Fam__5""]",1,0,1,0,1,0,1,0,44,33,1,43,images/stimuli/photos/rabbit1-photo-colour.png,images/stimuli/words/rabbit.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,2.516,Lion,[0.6754052734375],[-0.25259765625],[1],[0],[0],[4.283000000000001],"[""NamResp__Next""]",Fam_2,[0.0459033203125],[-0.3428466796875],[1],[0],[0],[0.7689999999999912],"[""Fam__2""]",1,0,1,0,1,0,1,0,44,23,1,43,images/stimuli/photos/lion1-photo-colour.png,images/stimuli/words/lion.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,2.633,Knife,[0.6762939453125],[-0.259033203125],[1],[0],[0],[3.3000000000000114],"[""NamResp__Next""]",Fam_4,[0.3623681640625],[-0.331640625],[1],[0],[0],[0.75],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,19,1,43,images/stimuli/photos/knife1-photo-grey.png,images/stimuli/words/knife.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,2.132,apple,[0.6631103515625],[-0.2524853515625],[1],[0],[0],[2.8999999999999915],"[""NamResp__Next""]",Fam_5,[0.500341796875],[-0.3303662109375],[1],[0],[0],[1.1319999999999908],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,1,1,43,images/stimuli/photos/apple1-photo-grey.png,images/stimuli/words/apple.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,2.516,padlock,[0.656923828125],[-0.260869140625],[1],[0],[0],[3.3330000000000126],"[""NamResp__Next""]",Fam_4,[0.361513671875],[-0.3296533203125],[1],[0],[0],[0.583999999999989],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,25,1,43,images/stimuli/photos/lock1-photo-grey.png,images/stimuli/words/lock.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,7.537,crown,[0.662900390625],[-0.2793994140625],[1],[0],[0],[9.420999999999992],"[""NamResp__Next""]",Fam_3,[0.2152685546875],[-0.3498779296875],[1],[0],[0],[2.1670000000000016],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,11,1,43,images/stimuli/photos/crown1-photo-grey.png,images/stimuli/words/crown.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,5.251,potato,[0.69681640625],[-0.2680078125],[1],[0],[0],[6.118000000000023],"[""NamResp__Next""]",Fam_5,[0.5148095703125],[-0.3379296875],[1],[0],[0],[0.4819999999999993],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,32,1,43,images/stimuli/photos/potato1-photo-grey.png,images/stimuli/words/potato.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,1.933,drum,[0.6810791015625],[-0.2573876953125],[1],[0],[0],[2.7180000000000177],"[""NamResp__Next""]",Fam_2,[0.033046875],[-0.3338671875],[1],[0],[0],[0.3149999999999977],"[""Fam__2""]",1,0,1,0,1,0,1,0,44,14,1,43,images/stimuli/photos/drum1-photo-colour.png,images/stimuli/words/drum.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2019-08-25_10h38.27.125,Subjective Judgments for Photographic Stimuli --- 01,3.1.5,60,5c81872942ff490016c7dc3f,27,female,Yes,"<span style=""font-size:16px;""><strong>White</strong></span><br /><span style=""font-size:13px;"">For example: English / Welsh / Scottish / Northern Irish / British, Irish, Gypsy or Irish Traveller.<br />Or, any other White background - please state:</span>",British,Yes - I am currently using a Mac computer.,Yes - I am using a Retina display.,,,,,,,,,,,,,,,,1.499,lamp,[0.6951806640625],[-0.271103515625],[1],[0],[0],[2.433000000000021],"[""NamResp__Next""]",Fam_4,[0.3627587890625],[-0.3454931640625],[1],[0],[0],[0.867999999999995],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,21,1,43,images/stimuli/photos/lamp1-photo-grey.png,images/stimuli/words/lamp.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
