Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583410868156,05/03/2020 12:21:08,1583410867997,0,05/03/2020 12:21:07,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583411128659,05/03/2020 12:25:28,1583411128416,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,rec_justification,"I clicked recollection on the items I know for sure I saw on the test and can remember thinking something about - for example the picture of the screw I clearly remember thinking ""screw"" to fixate it in my head."
3,1583411128738,05/03/2020 12:25:28,1583411128418,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,fam_justification,"I clicked this option with items that I thought I might have seen on the test, but was much less certain of - for example if a word bore a similarity to a drawing or photograph that I recalled."
4,1583411128738,05/03/2020 12:25:28,1583411128419,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,guess_justification,I didnt guess on any of the photos.
5,1583411128738,05/03/2020 12:25:28,1583411128419,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,mem_skills_1,a little worse
6,1583411128738,05/03/2020 12:25:28,1583411128419,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,mem_skills_1-quantised,4
7,1583411128738,05/03/2020 12:25:28,1583411128419,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,mem_skills_2,a lot better
8,1583411128738,05/03/2020 12:25:28,1583411128420,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,mem_skills_2-quantised,1
9,1583411128738,05/03/2020 12:25:28,1583411128420,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,attention_check,a lot better
10,1583411128738,05/03/2020 12:25:28,1583411128420,0,05/03/2020 12:25:28,10169,123,questionnaire-aaj1,,4089634,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,Y-1. RFG Justifications,8,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,attention_check-quantised,1
