Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583232461526,03/03/2020 10:47:41,1583232460810,0,03/03/2020 10:47:40,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1280x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583232490762,03/03/2020 10:48:10,1583232490017,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,age,21
3,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,age-quantised,4
4,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,gender,Male
5,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,EngFirstLang,Yes
6,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,EngFirstLang-quantised,1
7,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,ethnicity,
8,1583232490852,03/03/2020 10:48:10,1583232490019,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,white_other,English
9,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,ethnicity2,
10,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,response-4,
11,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,ethnicity3,
12,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,mixed_other,
13,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,response-6,
14,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,response-7,
15,1583232490852,03/03/2020 10:48:10,1583232490020,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,response-9,
16,1583232490852,03/03/2020 10:48:10,1583232490021,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,response-15,
17,1583232490852,03/03/2020 10:48:10,1583232490021,0,03/03/2020 10:48:10,10169,123,questionnaire-hq4r,,4070185,13204,1153775,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1280x720,1263x578,Test_Checkpoint,C. Demographics,10,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,29211
1,1583248690931,03/03/2020 15:18:10,1583248678436,0,03/03/2020 15:17:58,10169,123,questionnaire-hq4r,,4073102,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,C. Demographics,10,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583248733819,03/03/2020 15:18:53,1583248721375,0,03/03/2020 15:18:41,10169,123,questionnaire-hq4r,,4073102,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,age,26
3,1583248733914,03/03/2020 15:18:53,1583248721390,0,03/03/2020 15:18:41,10169,123,questionnaire-hq4r,,4073102,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,C. Demographics,10,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,age-quantised,9
