Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1583248735807,03/03/2020 15:18:55,1583248723308,0,03/03/2020 15:18:43,10169,123,questionnaire-nazt,,4073107,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583248912190,03/03/2020 15:21:52,1583248899749,0,03/03/2020 15:21:39,10169,123,questionnaire-nazt,,4073107,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,END QUESTIONNAIRE,176441
1,1583409947927,05/03/2020 12:05:47,1583409947763,0,05/03/2020 12:05:47,10169,123,questionnaire-nazt,,4089522,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583409973977,05/03/2020 12:06:13,1583409973866,0,05/03/2020 12:06:13,10169,123,questionnaire-nazt,,4089522,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1349x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,26103
1,1583438479596,05/03/2020 20:01:19,1583438479068,0,05/03/2020 20:01:19,10169,123,questionnaire-nazt,,4095678,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583438638285,05/03/2020 20:03:58,1583438637585,0,05/03/2020 20:03:57,10169,123,questionnaire-nazt,,4095678,010590,1160882,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x625,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,END QUESTIONNAIRE,158517
1,1583771650579,09/03/2020 16:34:10,1583771650519,0,09/03/2020 16:34:10,10169,123,questionnaire-nazt,,4119273,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,BEGIN QUESTIONNAIRE,
2,1583771733242,09/03/2020 16:35:33,1583771733179,0,09/03/2020 16:35:33,10169,123,questionnaire-nazt,,4119273,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1903x937,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,END QUESTIONNAIRE,82660
1,1583836283557,10/03/2020 10:31:23,1583836283398,0,10/03/2020 10:31:23,10169,123,questionnaire-nazt,,4123268,01041,1168076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x969,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1583836305767,10/03/2020 10:31:45,1583836305716,0,10/03/2020 10:31:45,10169,123,questionnaire-nazt,,4123268,01041,1168076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1903x969,Test_Checkpoint,D-1. Study__Ins__GREY,32,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,END QUESTIONNAIRE,22317
1,1583848836924,10/03/2020 14:00:36,1583848836730,0,10/03/2020 14:00:36,10169,123,questionnaire-nazt,,4125919,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,BEGIN QUESTIONNAIRE,
2,1583848850729,10/03/2020 14:00:50,1583848850681,0,10/03/2020 14:00:50,10169,123,questionnaire-nazt,,4125919,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,D-1. Study__Ins__GREY,32,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,END QUESTIONNAIRE,13950
