Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583848852165,10/03/2020 14:00:52,1583848852076,0,10/03/2020 14:00:52,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583848853574,10/03/2020 14:00:53,1583848853421,0,10/03/2020 14:00:53,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x629,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,1,1,1,check,script,force_advance,1333.92,,,,0,1,0,,,,,,fullscreen_check,,
3,1583848853981,10/03/2020 14:00:53,1583848853930,0,10/03/2020 14:00:53,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,516.894,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1583848855842,10/03/2020 14:00:55,1583848855800,0,10/03/2020 14:00:55,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1842.8649999987101,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1583848856686,10/03/2020 14:00:56,1583848856665,0,10/03/2020 14:00:56,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450.1979999999994,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
6,1583848859065,10/03/2020 14:00:59,1583848859038,0,10/03/2020 14:00:59,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,2355.955000006361,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
7,1583848859972,10/03/2020 14:00:59,1583848859950,0,10/03/2020 14:00:59,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,44,1,1,fixation,fixation,fixation,500.22000000000025,,,,0,1,0,,,,,2,study_6_grey,photograph.png,grey_photo_tomato1.png
8,1583848861471,10/03/2020 14:01:01,1583848861455,0,10/03/2020 14:01:01,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,44,1,2,stim_6_grey,buttonB,response_button_image,1488.5849999991478,,photograph.png,1,1,0,0,,,,,2,study_6_grey,photograph.png,grey_photo_tomato1.png
9,1583848862378,10/03/2020 14:01:02,1583848862357,0,10/03/2020 14:01:02,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,40,2,1,fixation,fixation,fixation,500.21999999999935,,,,0,1,0,,,,,2,study_6_grey,photograph.png,grey_photo_skirt3.png
10,1583848863503,10/03/2020 14:01:03,1583848863480,0,10/03/2020 14:01:03,10169,123,task-6t6c,,4125924,14151,1168776,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 80.0.3987.116,1280x800,1280x800,Test_Checkpoint,E-6. Study_6_GREY,4,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,study_6_grey_spreadsheet,40,2,2,stim_6_grey,buttonB,response_button_image,1106.6350000037346,,photograph.png,1,1,0,0,,,,,2,study_6_grey,photograph.png,grey_photo_skirt3.png
