Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1583771734696,09/03/2020 16:35:34,1583771734653,0,09/03/2020 16:35:34,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1583771740389,09/03/2020 16:35:40,1583771740361,0,09/03/2020 16:35:40,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x937,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,1,1,1,check,script,force_advance,5683.196,,,,0,1,0,,,,,,fullscreen_check,,
3,1583771740889,09/03/2020 16:35:40,1583771740791,0,09/03/2020 16:35:40,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,450.0039999999999,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1583771742873,09/03/2020 16:35:42,1583771742869,0,09/03/2020 16:35:42,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,2047.050000001036,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1583771743733,09/03/2020 16:35:43,1583771743724,0,09/03/2020 16:35:43,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,450,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1583771744937,09/03/2020 16:35:44,1583771744928,0,09/03/2020 16:35:44,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1177.2999999993772,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1583771745905,09/03/2020 16:35:45,1583771745824,0,09/03/2020 16:35:45,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,13,1,1,fixation,fixation,fixation,499.9180000000015,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pencil.png
8,1583771749107,09/03/2020 16:35:49,1583771749087,0,09/03/2020 16:35:49,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,13,1,2,stim_2_grey,Zone1,response_button_image,3246.1700000021665,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pencil.png
9,1583771749998,09/03/2020 16:35:49,1583771749990,0,09/03/2020 16:35:49,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,7,2,1,fixation,fixation,fixation,500.01900000000023,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_celery.png
10,1583771751858,09/03/2020 16:35:51,1583771751854,0,09/03/2020 16:35:51,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,7,2,2,stim_2_grey,Zone1,response_button_image,1835.8049999987998,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_celery.png
11,1583771752765,09/03/2020 16:35:52,1583771752757,0,09/03/2020 16:35:52,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,23,3,1,fixation,fixation,fixation,499.96399999999994,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_tiger.png
12,1583771754350,09/03/2020 16:35:54,1583771754351,0,09/03/2020 16:35:54,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,23,3,2,stim_2_grey,Zone1,response_button_image,1567.5049999990733,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_tiger.png
13,1583771755272,09/03/2020 16:35:55,1583771755257,0,09/03/2020 16:35:55,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,5,4,1,fixation,fixation,fixation,499.96600000000035,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_banana.png
14,1583771756896,09/03/2020 16:35:56,1583771756902,0,09/03/2020 16:35:56,10169,123,task-iwo1,,4119288,16598,1166875,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x1080,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,5,4,2,stim_2_grey,Zone1,response_button_image,1617.4549999996088,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_banana.png
