Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1583249149239,03/03/2020 15:25:49,1583249136724,0,03/03/2020 15:25:36,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1583249151701,03/03/2020 15:25:51,1583249139188,0,03/03/2020 15:25:39,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,1,1,1,Check,script,force_advance,2447.948,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1583249155927,03/03/2020 15:25:55,1583249143472,0,03/03/2020 15:25:43,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,20,1,1,Questions,buttonA,response_button_text,3966.859999999997,,16,1,1,0,0,,,,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
4,1583249156911,03/03/2020 15:25:56,1583249144463,0,03/03/2020 15:25:44,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,20,1,3,Correct,Zone7,timelimit_screen,999.094,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
5,1583249157051,03/03/2020 15:25:57,1583249144481,0,03/03/2020 15:25:44,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,20,1,4,Blank,Zone1,timelimit_screen,16.549000000000888,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
6,1583249161321,03/03/2020 15:26:01,1583249148882,0,03/03/2020 15:25:48,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,2,1,Questions,buttonA,response_button_text,4273.815000000013,,42,1,1,0,0,,,,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
7,1583249162313,03/03/2020 15:26:02,1583249149874,0,03/03/2020 15:25:49,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,2,3,Correct,Zone7,timelimit_screen,999.0769999999993,,,,0,1,0,,,1,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
8,1583249162485,03/03/2020 15:26:02,1583249149893,0,03/03/2020 15:25:49,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,2,4,Blank,Zone1,timelimit_screen,16.545000000000073,,,,0,1,0,,,1,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
9,1583249166565,03/03/2020 15:26:06,1583249154122,0,03/03/2020 15:25:54,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,3,3,1,Questions,buttonA,response_button_text,4100.425000000087,,18,1,1,0,0,,,,,1,MathQ,18,<h4>2 x 9 = </h4>,1,18,21,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
10,1583249167689,03/03/2020 15:26:07,1583249155119,0,03/03/2020 15:25:55,10169,123,task-qbcg,,4073157,13916,1154698,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,3,3,3,Correct,Zone7,timelimit_screen,998.7519999999968,,,,0,1,0,,,1,,1,MathQ,18,<h4>2 x 9 = </h4>,1,18,21,16,19,correct_1,total_1,incorrect_1,<h4>18</h4>
