Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1583410189752,05/03/2020 12:09:49,1583410189546,0,05/03/2020 12:09:49,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1583410191523,05/03/2020 12:09:51,1583410191378,0,05/03/2020 12:09:51,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x625,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,1,1,1,Check,script,force_advance,1833.2939999999999,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1583410195578,05/03/2020 12:09:55,1583410195453,0,05/03/2020 12:09:55,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,20,1,1,Questions,buttonA,response_button_text,3839.2200000816956,,16,1,1,0,0,,,,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
4,1583410196565,05/03/2020 12:09:56,1583410196444,0,05/03/2020 12:09:56,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,20,1,3,Correct,Zone7,timelimit_screen,999.8130000000001,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
5,1583410196737,05/03/2020 12:09:56,1583410196475,0,05/03/2020 12:09:56,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,20,1,4,Blank,Zone1,timelimit_screen,33.3169999999991,,,,0,1,0,,,1,,1,MathQ,16,<h4>2 x 8 =</h4>,1,16,18,19,20,correct_1,total_1,incorrect_1,<h4>16</h4>
6,1583410210387,05/03/2020 12:10:10,1583410210269,0,05/03/2020 12:10:10,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,17,2,1,Questions,buttonD,response_button_text,13637.170000001788,,27,1,0,1,0,,,,,1,MathQ,28,<h4>7 x 4 = </h4>,1,28,29,30,27,correct_1,total_1,incorrect_1,<h4>28</h4>
7,1583410211356,05/03/2020 12:10:11,1583410211255,0,05/03/2020 12:10:11,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,17,2,2,Incorrect,Zone7,timelimit_screen,1000.0999999999985,,,,0,1,0,,,1,,1,MathQ,28,<h4>7 x 4 = </h4>,1,28,29,30,27,correct_1,total_1,incorrect_1,<h4>28</h4>
8,1583410211543,05/03/2020 12:10:11,1583410211282,0,05/03/2020 12:10:11,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,17,2,4,Blank,Zone1,timelimit_screen,16.358000000000175,,,,0,1,0,,,1,,1,MathQ,28,<h4>7 x 4 = </h4>,1,28,29,30,27,correct_1,total_1,incorrect_1,<h4>28</h4>
9,1583410217114,05/03/2020 12:10:17,1583410217019,0,05/03/2020 12:10:17,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,9,3,1,Questions,buttonA,response_button_text,5580.8149999938905,,20,1,1,0,0,,,,,1,MathQ,20,<h4>5 x 4 =</h4>,1,20,15,25,16,correct_1,total_1,incorrect_1,<h4>20</h4>
10,1583410218114,05/03/2020 12:10:18,1583410218019,0,05/03/2020 12:10:18,10169,123,task-qd98,,4089550,80345,1159494,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1366x768,1366x768,Test_Checkpoint,F-2. Distractor__Task,26,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,Distractor__Spreadsheet,9,3,3,Correct,Zone7,timelimit_screen,1000.0430000000015,,,,0,1,0,,,1,,1,MathQ,20,<h4>5 x 4 =</h4>,1,20,15,25,16,correct_1,total_1,incorrect_1,<h4>20</h4>
