Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591781393777,10/06/2020 09:29:53,1591781393927,-5,10/06/2020 04:29:53,10169,127,questionnaire-jwjn,,5543415,5eac8b777b60c8129709fc10,1545028,,complete,,5ee0a67385410f03c1982778,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x625,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781456204,10/06/2020 09:30:56,1591781455890,-5,10/06/2020 04:30:55,10169,127,questionnaire-jwjn,,5543415,5eac8b777b60c8129709fc10,1545028,,complete,,5ee0a67385410f03c1982778,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x625,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,61964
1,1591781484261,10/06/2020 09:31:24,1591781485132,1,10/06/2020 10:31:25,10169,127,questionnaire-jwjn,,5543476,5eb4841544c2df2f0190e8a0,1545049,,complete,,5ee0a6cd6b0c8603bbf85d9f,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,1366x768,1366x662,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781527174,10/06/2020 09:32:07,1591781528055,1,10/06/2020 10:32:08,10169,127,questionnaire-jwjn,,5543476,5eb4841544c2df2f0190e8a0,1545049,,complete,,5ee0a6cd6b0c8603bbf85d9f,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 83.0.4103.97,1366x768,1366x662,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,42923
1,1591781803224,10/06/2020 09:36:43,1591781801704,1,10/06/2020 10:36:41,10169,127,questionnaire-jwjn,,5543593,5d93b723e248c2001767fafa,1545076,,complete,,5ee0a716cb793a3e38d409da,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.97,1536x864,1536x755,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591781896274,10/06/2020 09:38:16,1591781894826,1,10/06/2020 10:38:14,10169,127,questionnaire-jwjn,,5543593,5d93b723e248c2001767fafa,1545076,,complete,,5ee0a716cb793a3e38d409da,computer,Desktop or Laptop,Windows 8.1,Chrome 83.0.4103.97,1536x864,1536x755,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,93122
1,1591954298221,12/06/2020 09:31:38,1591954298125,1,12/06/2020 10:31:38,10169,127,questionnaire-jwjn,,5573738,5e89adebd43d19642c407a70,1555622,,complete,,5ee349bc0f92bd0009332135,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.87,1366x768,1366x657,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1591954325498,12/06/2020 09:32:05,1591954325426,1,12/06/2020 10:32:05,10169,127,questionnaire-jwjn,,5573738,5e89adebd43d19642c407a70,1555622,,complete,,5ee349bc0f92bd0009332135,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.87,1366x768,1366x657,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,27302
1,1592483429177,18/06/2020 12:30:29,1592483429179,-4,18/06/2020 08:30:29,10169,127,questionnaire-jwjn,,5686792,5e9f60dd9d60ec0f754485d7,1586741,,complete,,5eeb5d1e20cb9a254816aa6d,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1752x1016,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1592483467495,18/06/2020 12:31:07,1592483467542,-4,18/06/2020 08:31:07,10169,127,questionnaire-jwjn,,5686792,5e9f60dd9d60ec0f754485d7,1586741,,complete,,5eeb5d1e20cb9a254816aa6d,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1752x1016,Test_Checkpoint,G-2. RFG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,38363
