Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1591953980215,12/06/2020 09:26:20,1591953980220,1,12/06/2020 10:26:20,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x625,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591953982902,12/06/2020 09:26:22,1591953982863,1,12/06/2020 10:26:22,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x625,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,1,1,1,check,script,force_advance,2614.219,,,,0,1,0,,,,,,fullscreen_check,,
3,1591953983356,12/06/2020 09:26:23,1591953983386,1,12/06/2020 10:26:23,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,549.5709999999999,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
4,1591953986708,12/06/2020 09:26:26,1591953986776,1,12/06/2020 10:26:26,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,3334.8799999803305,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
5,1591953987483,12/06/2020 09:26:27,1591953987548,1,12/06/2020 10:26:27,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.53899999999976,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1591953989233,12/06/2020 09:26:29,1591953989297,1,12/06/2020 10:26:29,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,1680.9599997941405,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1591953990110,12/06/2020 09:26:30,1591953990177,1,12/06/2020 10:26:30,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,61,1,1,fixation,fixation,fixation,499.27400000000125,,,,0,1,0,,,,,2,study_3_col,word.png,word_stool.png
8,1591953991532,12/06/2020 09:26:31,1591953991593,1,12/06/2020 10:26:31,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,61,1,2,stim_3_col,buttonA,response_button_image,1390.3900000732392,,word.png,1,1,0,0,,,,,2,study_3_col,word.png,word_stool.png
9,1591953992393,12/06/2020 09:26:32,1591953992445,1,12/06/2020 10:26:32,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,52,2,1,fixation,fixation,fixation,499.46800000000076,,,,0,1,0,,,,,2,study_3_col,word.png,word_comb.png
10,1591953993502,12/06/2020 09:26:33,1591953993569,1,12/06/2020 10:26:33,10169,127,task-rxq8,,5573611,5ad3bfc75b53cb0001f35839,1555624,,complete,,5ee349bf5377580008005444,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1366x768,1366x768,Test_Checkpoint,E-9. Study_3_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,study_3_col_spreadsheet,52,2,2,stim_3_col,buttonA,response_button_image,1081.3949999865144,,word.png,1,1,0,0,,,,,2,study_3_col,word.png,word_comb.png
