Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1594826294548,15/07/2020 15:18:14,1594826292907,-7,15/07/2020 08:18:12,10169,128,questionnaire-cnfv,,6073981,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1267x864,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826319672,15/07/2020 15:18:39,1594826318099,-7,15/07/2020 08:18:38,10169,128,questionnaire-cnfv,,6073981,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1250x864,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,debrief_comments,No Comment
3,1594826319859,15/07/2020 15:18:39,1594826318101,-7,15/07/2020 08:18:38,10169,128,questionnaire-cnfv,,6073981,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1250x864,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,25194
1,1594826310374,15/07/2020 15:18:30,1594826309903,1,15/07/2020 16:18:29,10169,128,questionnaire-cnfv,,6073990,5edd2d699c9855a147178414,1714596,,complete,,5f0f1b8b29f7a806b602231d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x941,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594826361624,15/07/2020 15:19:21,1594826361145,1,15/07/2020 16:19:21,10169,128,questionnaire-cnfv,,6073990,5edd2d699c9855a147178414,1714596,,complete,,5f0f1b8b29f7a806b602231d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x941,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,debrief_comments,I'm not sure if the maths quiz part is relevant but the answer was always the leftmost option for me. If this isn't intentional you should look into it.
3,1594826361655,15/07/2020 15:19:21,1594826361147,1,15/07/2020 16:19:21,10169,128,questionnaire-cnfv,,6073990,5edd2d699c9855a147178414,1714596,,complete,,5f0f1b8b29f7a806b602231d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x941,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,51244
1,1594826327581,15/07/2020 15:18:47,1594826327524,1,15/07/2020 16:18:47,10169,128,questionnaire-cnfv,,6074003,5e407f53008fe0000ca91bf7,1714594,,complete,,5f0f1b861dfc1405e67094f3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1600x789,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594826343648,15/07/2020 15:19:03,1594826343609,1,15/07/2020 16:19:03,10169,128,questionnaire-cnfv,,6074003,5e407f53008fe0000ca91bf7,1714594,,complete,,5f0f1b861dfc1405e67094f3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1583x789,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,debrief_comments,n/a
3,1594826343695,15/07/2020 15:19:03,1594826343611,1,15/07/2020 16:19:03,10169,128,questionnaire-cnfv,,6074003,5e407f53008fe0000ca91bf7,1714594,,complete,,5f0f1b861dfc1405e67094f3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1583x789,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,16088
1,1594826341067,15/07/2020 15:19:01,1594826340591,1,15/07/2020 16:19:00,10169,128,questionnaire-cnfv,,6074010,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1020,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1594826358523,15/07/2020 15:19:18,1594826358108,1,15/07/2020 16:19:18,10169,128,questionnaire-cnfv,,6074010,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2003x1020,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,debrief_comments,n/a
3,1594826358601,15/07/2020 15:19:18,1594826358109,1,15/07/2020 16:19:18,10169,128,questionnaire-cnfv,,6074010,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2003x1020,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,END QUESTIONNAIRE,17518
1,1594826367443,15/07/2020 15:19:27,1594826410436,1,15/07/2020 16:20:10,10169,128,questionnaire-cnfv,,6074028,5c2fb1412c45d400014ae103,1714602,,complete,,5f0f1b8b3a84ea061e5f3277,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1536x722,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594826379148,15/07/2020 15:19:39,1594826422182,1,15/07/2020 16:20:22,10169,128,questionnaire-cnfv,,6074028,5c2fb1412c45d400014ae103,1714602,,complete,,5f0f1b8b3a84ea061e5f3277,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1519x722,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,debrief_comments,N/A
3,1594826379242,15/07/2020 15:19:39,1594826422187,1,15/07/2020 16:20:22,10169,128,questionnaire-cnfv,,6074028,5c2fb1412c45d400014ae103,1714602,,complete,,5f0f1b8b3a84ea061e5f3277,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1519x722,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,11751
1,1594826405629,15/07/2020 15:20:05,1594826388544,1,15/07/2020 16:19:48,10169,128,questionnaire-cnfv,,6074043,5d4847e13226ad0019412c56,1714612,,complete,,5f0f1b949fd17505d702e85b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1594826420857,15/07/2020 15:20:20,1594826403814,1,15/07/2020 16:20:03,10169,128,questionnaire-cnfv,,6074043,5d4847e13226ad0019412c56,1714612,,complete,,5f0f1b949fd17505d702e85b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,Z. Debrief,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,debrief_comments,Great thanks
