Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1594825643906,15/07/2020 15:07:23,1594825643457,1,15/07/2020 16:07:23,10169,128,questionnaire-u8yj,,6073490,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1020,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1594825651804,15/07/2020 15:07:31,1594825651410,1,15/07/2020 16:07:31,10169,128,questionnaire-u8yj,,6073490,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2003x1020,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,END QUESTIONNAIRE,7953
1,1594825647032,15/07/2020 15:07:27,1594825646898,1,15/07/2020 16:07:26,10169,128,questionnaire-u8yj,,6073495,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x947,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
2,1594825706872,15/07/2020 15:08:26,1594825706782,1,15/07/2020 16:08:26,10169,128,questionnaire-u8yj,,6073495,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x947,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,END QUESTIONNAIRE,59884
1,1594825660224,15/07/2020 15:07:40,1594825660178,1,15/07/2020 16:07:40,10169,128,questionnaire-u8yj,,6073506,5e407f53008fe0000ca91bf7,1714594,,complete,,5f0f1b861dfc1405e67094f3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1600x789,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825678879,15/07/2020 15:07:58,1594825678862,1,15/07/2020 16:07:58,10169,128,questionnaire-u8yj,,6073506,5e407f53008fe0000ca91bf7,1714594,,complete,,5f0f1b861dfc1405e67094f3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1583x789,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,18684
1,1594825666377,15/07/2020 15:07:46,1594825709320,1,15/07/2020 16:08:29,10169,128,questionnaire-u8yj,,6073511,5c2fb1412c45d400014ae103,1714602,,complete,,5f0f1b8b3a84ea061e5f3277,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1536x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825711732,15/07/2020 15:08:31,1594825754729,1,15/07/2020 16:09:14,10169,128,questionnaire-u8yj,,6073511,5c2fb1412c45d400014ae103,1714602,,complete,,5f0f1b8b3a84ea061e5f3277,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1519x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,45409
1,1594825684339,15/07/2020 15:08:04,1594825684391,1,15/07/2020 16:08:04,10169,128,questionnaire-u8yj,,6073524,5eafc7f8086962000a2983e5,1714608,,complete,,5f0f1b932a709a0699b2b061,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1920x966,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825705106,15/07/2020 15:08:25,1594825705244,1,15/07/2020 16:08:25,10169,128,questionnaire-u8yj,,6073524,5eafc7f8086962000a2983e5,1714608,,complete,,5f0f1b932a709a0699b2b061,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1903x966,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,20853
1,1594825685573,15/07/2020 15:08:05,1594825635456,-4,15/07/2020 11:07:15,10169,128,questionnaire-u8yj,,6073525,5dd41779cc19203f9df2bbe6,1714613,,complete,,5f0f1b94c502bb05595eb21f,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1680x1050,1661x848,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,BEGIN QUESTIONNAIRE,
2,1594825718910,15/07/2020 15:08:38,1594825668829,-4,15/07/2020 11:07:48,10169,128,questionnaire-u8yj,,6073525,5dd41779cc19203f9df2bbe6,1714613,,complete,,5f0f1b94c502bb05595eb21f,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1680x1050,1644x848,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,END QUESTIONNAIRE,33373
1,1594825685511,15/07/2020 15:08:05,1594825685012,1,15/07/2020 16:08:05,10169,128,questionnaire-u8yj,,6073526,5edd2d699c9855a147178414,1714596,,complete,,5f0f1b8b29f7a806b602231d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1004x931,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825705325,15/07/2020 15:08:25,1594825704898,1,15/07/2020 16:08:24,10169,128,questionnaire-u8yj,,6073526,5edd2d699c9855a147178414,1714596,,complete,,5f0f1b8b29f7a806b602231d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1903x941,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,19886
1,1594825688620,15/07/2020 15:08:08,1594825671189,1,15/07/2020 16:07:51,10169,128,questionnaire-u8yj,,6073528,5d4847e13226ad0019412c56,1714612,,complete,,5f0f1b949fd17505d702e85b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1366x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1594825728238,15/07/2020 15:08:48,1594825711062,1,15/07/2020 16:08:31,10169,128,questionnaire-u8yj,,6073528,5d4847e13226ad0019412c56,1714612,,complete,,5f0f1b949fd17505d702e85b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.122,1366x768,1349x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,END QUESTIONNAIRE,39873
1,1594825691183,15/07/2020 15:08:11,1594825691791,1,15/07/2020 16:08:11,10169,128,questionnaire-u8yj,,6073532,5b1aa0433e5521000120f7a8,1714593,,complete,,5f0f1b7e6477c3071b88348e,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,BEGIN QUESTIONNAIRE,
2,1594825727520,15/07/2020 15:08:47,1594825728172,1,15/07/2020 16:08:48,10169,128,questionnaire-u8yj,,6073532,5b1aa0433e5521000120f7a8,1714593,,complete,,5f0f1b7e6477c3071b88348e,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFBG,,END QUESTIONNAIRE,36381
1,1594825701324,15/07/2020 15:08:21,1594825702518,-5,15/07/2020 10:08:22,10169,128,questionnaire-u8yj,,6073543,5ec18c4c2f44695b38204649,1714614,,complete,,5f0f1b8ea168ea06692d4d2b,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,BEGIN QUESTIONNAIRE,
2,1594825749408,15/07/2020 15:09:09,1594825750633,-5,15/07/2020 10:09:10,10169,128,questionnaire-u8yj,,6073543,5ec18c4c2f44695b38204649,1714614,,complete,,5f0f1b8ea168ea06692d4d2b,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,END QUESTIONNAIRE,48115
1,1594825704934,15/07/2020 15:08:24,1594825704605,1,15/07/2020 16:08:24,10169,128,questionnaire-u8yj,,6073546,5ed7dbf0cc49da0df138e4fb,1714605,,complete,,5f0f1b9167c6dd06ee3b690d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1536x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825759410,15/07/2020 15:09:19,1594825759093,1,15/07/2020 16:09:19,10169,128,questionnaire-u8yj,,6073546,5ed7dbf0cc49da0df138e4fb,1714605,,complete,,5f0f1b9167c6dd06ee3b690d,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1519x722,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,54488
1,1594825710654,15/07/2020 15:08:30,1594825709037,-7,15/07/2020 08:08:29,10169,128,questionnaire-u8yj,,6073554,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1267x864,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594825722700,15/07/2020 15:08:42,1594825721129,-7,15/07/2020 08:08:41,10169,128,questionnaire-u8yj,,6073554,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1250x864,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,12092
1,1594825711842,15/07/2020 15:08:31,1594825847159,1,15/07/2020 16:10:47,10169,128,questionnaire-u8yj,,6073555,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1526x686,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594825736036,15/07/2020 15:08:56,1594825871269,1,15/07/2020 16:11:11,10169,128,questionnaire-u8yj,,6073555,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1510x686,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,24110
1,1594825717363,15/07/2020 15:08:37,1594825718057,1,15/07/2020 16:08:38,10169,128,questionnaire-u8yj,,6073562,5d7d74cf1822680001b2447e,1714599,,complete,,5f0f1b8da16c0a06ac84a0f7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1353x761,1354x622,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,BEGIN QUESTIONNAIRE,
2,1594825739414,15/07/2020 15:08:59,1594825740163,1,15/07/2020 16:09:00,10169,128,questionnaire-u8yj,,6073562,5d7d74cf1822680001b2447e,1714599,,complete,,5f0f1b8da16c0a06ac84a0f7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1353x761,1337x622,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_3_colour,,,,,,,,C_Checkpoint_Col,,Col_RFBG,END QUESTIONNAIRE,22107
1,1594825720457,15/07/2020 15:08:40,1594825721466,1,15/07/2020 16:08:41,10169,128,questionnaire-u8yj,,6073571,5702c03e68c641000e0d754d,1714607,,complete,,5f0f1b955f351604a99114fd,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x937,Test_Checkpoint,D-2. Study__Ins__COLOUR,6,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_2_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,BEGIN QUESTIONNAIRE,
