Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1594825859090,15/07/2020 15:10:59,1594825857494,-7,15/07/2020 08:10:57,10169,128,questionnaire-xx62,,6073691,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1267x864,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594825865434,15/07/2020 15:11:05,1594825863840,-7,15/07/2020 08:11:03,10169,128,questionnaire-xx62,,6073691,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1250x864,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,6346
1,1594825929204,15/07/2020 15:12:09,1594826064509,1,15/07/2020 16:14:24,10169,128,questionnaire-xx62,,6073747,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1526x686,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594825947705,15/07/2020 15:12:27,1594826082902,1,15/07/2020 16:14:42,10169,128,questionnaire-xx62,,6073747,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1510x686,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,18393
1,1594825990570,15/07/2020 15:13:10,1594825990390,1,15/07/2020 16:13:10,10169,128,questionnaire-xx62,,6073803,596e1cc639e9d00001b7bb84,1714627,,complete,,5f0f1b95b48e42064e8d9f49,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.116,1680x1050,1680x835,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826018286,15/07/2020 15:13:38,1594826018236,1,15/07/2020 16:13:38,10169,128,questionnaire-xx62,,6073803,596e1cc639e9d00001b7bb84,1714627,,complete,,5f0f1b95b48e42064e8d9f49,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.116,1680x1050,1665x835,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,END QUESTIONNAIRE,27847
1,1594826057313,15/07/2020 15:14:17,1594826057735,-4,15/07/2020 11:14:17,10169,128,questionnaire-xx62,,6073861,56bb6812bf2129000b53ce26,1714591,,complete,,5f0f1b7c39a27f04a4f86cba,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1536x706,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826068986,15/07/2020 15:14:28,1594826069454,-4,15/07/2020 11:14:29,10169,128,questionnaire-xx62,,6073861,56bb6812bf2129000b53ce26,1714591,,complete,,5f0f1b7c39a27f04a4f86cba,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1519x706,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFG,,,,,,,,,END QUESTIONNAIRE,11719
1,1594826106420,15/07/2020 15:15:06,1594826106185,1,15/07/2020 16:15:06,10169,128,questionnaire-xx62,,6073893,58efec0c95e1480001305bd2,1714664,,complete,,5f0f1b86ef624905fdb4d091,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x1024,1280x881,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826137107,15/07/2020 15:15:37,1594826136798,1,15/07/2020 16:15:36,10169,128,questionnaire-xx62,,6073893,58efec0c95e1480001305bd2,1714664,,complete,,5f0f1b86ef624905fdb4d091,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x1024,1280x881,Test_Checkpoint,F-1. Distractor__Ins,13,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,30613
