Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1594825653197,15/07/2020 15:07:33,1594825652770,1,15/07/2020 16:07:32,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1020,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1594825654025,15/07/2020 15:07:34,1594825653648,1,15/07/2020 16:07:33,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1020,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,1,1,1,check,script,force_advance,865.621,,,,0,1,0,,,,,,fullscreen_check,,
3,1594825654493,15/07/2020 15:07:34,1594825654105,1,15/07/2020 16:07:34,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,466.1890000000001,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1594825655932,15/07/2020 15:07:35,1594825655544,1,15/07/2020 16:07:35,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1422.1350001171231,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1594825656791,15/07/2020 15:07:36,1594825656420,1,15/07/2020 16:07:36,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,449.4659999999999,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
6,1594825657995,15/07/2020 15:07:37,1594825657610,1,15/07/2020 16:07:37,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1144.3549999967217,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
7,1594825658922,15/07/2020 15:07:38,1594825658534,1,15/07/2020 16:07:38,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,19,1,1,fixation,fixation,fixation,499.3609999999999,,,,0,1,0,,,,,2,study_6_col,line-drawing.png,col_line_lion.png
8,1594825660082,15/07/2020 15:07:40,1594825659706,1,15/07/2020 16:07:39,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,19,1,2,stim_6_col,Zone1,response_button_image,1117.3100001178682,,line-drawing.png,1,1,0,0,,,,,2,study_6_col,line-drawing.png,col_line_lion.png
9,1594825661066,15/07/2020 15:07:41,1594825660631,1,15/07/2020 16:07:40,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,58,2,1,fixation,fixation,fixation,499.4289999999992,,,,0,1,0,,,,,2,study_6_col,word.png,word_leaf.png
10,1594825661929,15/07/2020 15:07:41,1594825661545,1,15/07/2020 16:07:41,10169,128,task-qw7d,,6073499,5e21d4156ebb72000df49f65,1714601,,complete,,5f0f1b8ea751ba0619f00e33,computer,Desktop or Laptop,Windows 10,Edge 83.0.478.45,1920x1080,2021x1137,Test_Checkpoint,E-12. Study_6_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_6_colour,,,,,,,,C_Checkpoint_Col,,Col_RFG,study_6_col_spreadsheet,58,2,2,stim_6_col,buttonA,response_button_image,866.6399996727705,,word.png,1,1,0,0,,,,,2,study_6_col,word.png,word_leaf.png
