Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1594825708529,15/07/2020 15:08:28,1594825708240,1,15/07/2020 16:08:28,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x947,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1594825710217,15/07/2020 15:08:30,1594825710077,1,15/07/2020 16:08:30,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x947,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,1,1,1,check,script,force_advance,1818.504,,,,0,1,0,,,,,,fullscreen_check,,
3,1594825710607,15/07/2020 15:08:30,1594825710518,1,15/07/2020 16:08:30,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,2,1,1,filler_start_fixation,fixation,fixation,450.433,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
4,1594825711795,15/07/2020 15:08:31,1594825711691,1,15/07/2020 16:08:31,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,2,1,2,filler_start_stim,buttonA,response_button_image,1130.8349999999336,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
5,1594825712676,15/07/2020 15:08:32,1594825712553,1,15/07/2020 16:08:32,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,3,2,1,filler_start_fixation,fixation,fixation,450.442,,,,0,1,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
6,1594825713723,15/07/2020 15:08:33,1594825713605,1,15/07/2020 16:08:33,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,3,2,2,filler_start_stim,Zone1,response_button_image,1019.1999999988184,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,col_line_pitcher.png
7,1594825714613,15/07/2020 15:08:34,1594825714522,1,15/07/2020 16:08:34,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,13,1,1,fixation,fixation,fixation,500.5079999999998,,,,0,1,0,,,,,2,study_5_col,line-drawing.png,col_line_lock.png
8,1594825715379,15/07/2020 15:08:35,1594825715301,1,15/07/2020 16:08:35,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,13,1,2,stim_5_col,Zone1,response_button_image,740.7599999987724,,line-drawing.png,1,1,0,0,,,,,2,study_5_col,line-drawing.png,col_line_lock.png
9,1594825716332,15/07/2020 15:08:36,1594825716224,1,15/07/2020 16:08:36,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,47,2,1,fixation,fixation,fixation,500.5620000000008,,,,0,1,0,,,,,2,study_5_col,word.png,word_apple.png
10,1594825717176,15/07/2020 15:08:37,1594825717079,1,15/07/2020 16:08:37,10169,128,task-xfbn,,6073551,5d45f6d7da637a00014b9e30,1714595,,complete,,5f0f1b89480a7c068cfae4e0,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1920x1080,1920x1080,Test_Checkpoint,E-11. Study_5_COL,4,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_5_colour,,,,,,,B_Checkpoint_Col,,Col_RFG,,study_5_col_spreadsheet,47,2,2,stim_5_col,buttonA,response_button_image,819.1949999982171,,word.png,1,1,0,0,,,,,2,study_5_col,word.png,word_apple.png
