Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601374312700,29/09/2020 10:11:52,1601374312648,1,29/09/2020 11:11:52,10169,131,questionnaire-3uxy,,6998088,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x940,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601374347737,29/09/2020 10:12:27,1601374347713,1,29/09/2020 11:12:27,10169,131,questionnaire-3uxy,,6998088,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x940,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,35066
1,1601377544778,29/09/2020 11:05:44,1601377544913,1,29/09/2020 12:05:44,10169,131,questionnaire-3uxy,,6998860,5f68b388639cf2015e259207,2021068,,complete,,5f73134c0faec203290011e3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1200,1920x1048,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377633009,29/09/2020 11:07:13,1601377633145,1,29/09/2020 12:07:13,10169,131,questionnaire-3uxy,,6998860,5f68b388639cf2015e259207,2021068,,complete,,5f73134c0faec203290011e3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1200,1920x1048,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,88232
1,1601377665612,29/09/2020 11:07:45,1601377664106,1,29/09/2020 12:07:44,10169,131,questionnaire-3uxy,,6998918,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377689218,29/09/2020 11:08:09,1601377687733,1,29/09/2020 12:08:07,10169,131,questionnaire-3uxy,,6998918,5d4c9a1c6c31b50017b80f9e,2021102,,complete,,5f73143b3dfd4703cae554af,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,23627
1,1601467602431,30/09/2020 12:06:42,1601467602119,1,30/09/2020 13:06:42,10169,131,questionnaire-3uxy,,7016408,5eda56d66594866448d580c8,2028958,,complete,,5f7473622414f40171b1eb9f,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1440x821,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467646683,30/09/2020 12:07:26,1601467646639,1,30/09/2020 13:07:26,10169,131,questionnaire-3uxy,,7016408,5eda56d66594866448d580c8,2028958,,complete,,5f7473622414f40171b1eb9f,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1440x900,1440x821,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,44520
1,1601547488764,01/10/2020 10:18:08,1601547488694,1,01/10/2020 11:18:08,10169,131,questionnaire-3uxy,,7030379,5d53c4952272e1001a044a35,2033249,,complete,,5f75ab93a3e23023758ff896,computer,Desktop or Laptop,Windows 10,Edge 18.17763,1280x720,1280x607,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601547534844,01/10/2020 10:18:54,1601547534809,1,01/10/2020 11:18:54,10169,131,questionnaire-3uxy,,7030379,5d53c4952272e1001a044a35,2033249,,complete,,5f75ab93a3e23023758ff896,computer,Desktop or Laptop,Windows 10,Edge 18.17763,1280x720,1280x607,Test_Checkpoint,G-1. RFG__Ins__GREY,21,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,46115
