Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601548693976,01/10/2020 10:38:13,1601548698197,10,01/10/2020 20:38:18,10169,131,questionnaire-3ybg,,7030979,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x639,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601548717548,01/10/2020 10:38:37,1601548720151,10,01/10/2020 20:38:40,10169,131,questionnaire-3ybg,,7030979,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x639,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,21955
1,1601548988909,01/10/2020 10:43:08,1601548986884,1,01/10/2020 11:43:06,10169,131,questionnaire-3ybg,,7031130,5f50c6b0e0375824626e4989,2033397,,complete,,5f75afdfa22350244d9b157e,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 85.0.4183.83,1440x900,1440x821,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601549010017,01/10/2020 10:43:30,1601549007990,1,01/10/2020 11:43:27,10169,131,questionnaire-3ybg,,7031130,5f50c6b0e0375824626e4989,2033397,,complete,,5f75afdfa22350244d9b157e,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 85.0.4183.83,1440x900,1440x821,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,21106
1,1601548999779,01/10/2020 10:43:19,1601548999725,1,01/10/2020 11:43:19,10169,131,questionnaire-3ybg,,7031133,5979e6e2d573480001404613,2033447,,complete,,5f75af2aa7cffe233988b03a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x610,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601549016683,01/10/2020 10:43:36,1601549016665,1,01/10/2020 11:43:36,10169,131,questionnaire-3ybg,,7031133,5979e6e2d573480001404613,2033447,,complete,,5f75af2aa7cffe233988b03a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1263x610,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,16941
1,1601549429905,01/10/2020 10:50:29,1601549426596,1,01/10/2020 11:50:26,10169,131,questionnaire-3ybg,,7031303,5c93b062c9d93b0015fcbc02,2033471,,complete,,5f75b321c1eb87241b1d197b,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1536x864,1536x751,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601549447982,01/10/2020 10:50:47,1601549444719,1,01/10/2020 11:50:44,10169,131,questionnaire-3ybg,,7031303,5c93b062c9d93b0015fcbc02,2033471,,complete,,5f75b321c1eb87241b1d197b,computer,Desktop or Laptop,Windows 10,Edge 18.18362,1536x864,1520x751,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,18123
1,1601549782727,01/10/2020 10:56:22,1601549783076,1,01/10/2020 11:56:23,10169,131,questionnaire-3ybg,,7031432,5e78c0a426450503858d82c9,2033508,,complete,,5f75b50ad19e2a25209206d5,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x920,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601549791947,01/10/2020 10:56:31,1601549792368,1,01/10/2020 11:56:32,10169,131,questionnaire-3ybg,,7031432,5e78c0a426450503858d82c9,2033508,,complete,,5f75b50ad19e2a25209206d5,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1903x920,Test_Checkpoint,F-1. Distractor__Ins,13,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,9292
