Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601377776520,29/09/2020 11:09:36,1601377777320,1,29/09/2020 12:09:37,10169,131,questionnaire-cnfv,,6998966,597f786b2c08900001963acc,2021067,,complete,,5f73134729c2e603ce8077ea,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377802955,29/09/2020 11:10:02,1601377803686,1,29/09/2020 12:10:03,10169,131,questionnaire-cnfv,,6998966,597f786b2c08900001963acc,2021067,,complete,,5f73134729c2e603ce8077ea,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1349x625,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,debrief_comments,n/a
3,1601377803017,29/09/2020 11:10:03,1601377803689,1,29/09/2020 12:10:03,10169,131,questionnaire-cnfv,,6998966,597f786b2c08900001963acc,2021067,,complete,,5f73134729c2e603ce8077ea,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1349x625,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,26369
1,1601377789294,29/09/2020 11:09:49,1601377789945,1,29/09/2020 12:09:49,10169,131,questionnaire-cnfv,,6998972,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,Test_Checkpoint,Z. Debrief,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377818358,29/09/2020 11:10:18,1601377818996,1,29/09/2020 12:10:18,10169,131,questionnaire-cnfv,,6998972,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,Z. Debrief,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,debrief_comments,It was good! I've done similar that were boring and this kept me engaged 
3,1601377818436,29/09/2020 11:10:18,1601377818997,1,29/09/2020 12:10:18,10169,131,questionnaire-cnfv,,6998972,5f4f69faf3505f0109ed9e75,2021064,,complete,,5f73134f424c7803e9a9fcf2,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,Test_Checkpoint,Z. Debrief,13,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,No,END QUESTIONNAIRE,29052
1,1601377843681,29/09/2020 11:10:43,1601377843647,1,29/09/2020 12:10:43,10169,131,questionnaire-cnfv,,6999006,5e234e6d06121f5eceaba7f1,2021063,,complete,,5f73134049ad1d037aa17958,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1280x720,1280x610,Test_Checkpoint,Z. Debrief,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377881355,29/09/2020 11:11:21,1601377881214,1,29/09/2020 12:11:21,10169,131,questionnaire-cnfv,,6999006,5e234e6d06121f5eceaba7f1,2021063,,complete,,5f73134049ad1d037aa17958,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1280x720,1263x610,Test_Checkpoint,Z. Debrief,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,debrief_comments,You should not be using tracking cookies.  You have no right to track me.  This is an invasion of my privacy and I will make a complaint to prolific.
3,1601377881449,29/09/2020 11:11:21,1601377881216,1,29/09/2020 12:11:21,10169,131,questionnaire-cnfv,,6999006,5e234e6d06121f5eceaba7f1,2021063,,complete,,5f73134049ad1d037aa17958,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1280x720,1263x610,Test_Checkpoint,Z. Debrief,13,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,37570
1,1601377903313,29/09/2020 11:11:43,1601377901714,1,29/09/2020 12:11:41,10169,131,questionnaire-cnfv,,6999085,5d3d9749607ede001a0712df,2021062,,complete,,5f731340c1172404307eefe8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,Z. Debrief,13,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
