Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601374382325,29/09/2020 10:13:02,1601374382119,13,29/09/2020 23:13:02,10169,131,questionnaire-kpni,,6998101,5f3b4a34d5b7e884df940433,2020737,,complete,,5f7306713ce5bc026ecd72d7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x665,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601374449923,29/09/2020 10:14:09,1601374447895,13,29/09/2020 23:14:07,10169,131,questionnaire-kpni,,6998101,5f3b4a34d5b7e884df940433,2020737,,complete,,5f7306713ce5bc026ecd72d7,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x665,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,65776
1,1601377426142,29/09/2020 11:03:46,1601377426064,1,29/09/2020 12:03:46,10169,131,questionnaire-kpni,,6998806,5e234e6d06121f5eceaba7f1,2021063,,complete,,5f73134049ad1d037aa17958,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377452476,29/09/2020 11:04:12,1601377452475,1,29/09/2020 12:04:12,10169,131,questionnaire-kpni,,6998806,5e234e6d06121f5eceaba7f1,2021063,,complete,,5f73134049ad1d037aa17958,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1280x720,1280x610,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,26412
1,1601377483557,29/09/2020 11:04:43,1601377482368,1,29/09/2020 12:04:42,10169,131,questionnaire-kpni,,6998832,5e3caa100ee0a20a09e1da1e,2021078,,complete,,5f73134057c8d103252b04ab,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377534433,29/09/2020 11:05:34,1601377533190,1,29/09/2020 12:05:33,10169,131,questionnaire-kpni,,6998832,5e3caa100ee0a20a09e1da1e,2021078,,complete,,5f73134057c8d103252b04ab,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_6_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,50823
1,1601467597364,30/09/2020 12:06:37,1601467593644,1,30/09/2020 13:06:33,10169,131,questionnaire-kpni,,7016404,5afbf02302b1b5000103e313,2028956,,complete,,5f74735ddc69c6015acb5e34,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467641047,30/09/2020 12:07:21,1601467637381,1,30/09/2020 13:07:17,10169,131,questionnaire-kpni,,7016404,5afbf02302b1b5000103e313,2028956,,complete,,5f74735ddc69c6015acb5e34,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,43738
1,1601467597753,30/09/2020 12:06:37,1601467596933,1,30/09/2020 13:06:36,10169,131,questionnaire-kpni,,7016405,5d920df12b679a00182bbc73,2028973,,complete,,5f747382c1eb870166e8ab56,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1536x722,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601467663279,30/09/2020 12:07:43,1601467662490,1,30/09/2020 13:07:42,10169,131,questionnaire-kpni,,7016405,5d920df12b679a00182bbc73,2028973,,complete,,5f747382c1eb870166e8ab56,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1536x722,Test_Checkpoint,G-1. RFG__Ins__GREY,21,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFG,,,,,No,END QUESTIONNAIRE,65558
