Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601377122951,29/09/2020 10:58:42,1601377123956,1,29/09/2020 11:58:43,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377145255,29/09/2020 10:59:05,1601377146338,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_1,I confirm that I have read and understood the information provided above and have had the opportunity to ask questions.
3,1601377145365,29/09/2020 10:59:05,1601377146339,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_1-quantised,1
4,1601377145365,29/09/2020 10:59:05,1601377146340,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_2,I understand that my participation is voluntary and that I am free to withdraw at any time.
5,1601377145365,29/09/2020 10:59:05,1601377146340,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_2-quantised,1
6,1601377145365,29/09/2020 10:59:05,1601377146340,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_3,I confirm that I am aged 18 or over and that I agree to take part in this study.
7,1601377145365,29/09/2020 10:59:05,1601377146340,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,consent_3-quantised,1
8,1601377145365,29/09/2020 10:59:05,1601377146340,1,29/09/2020 11:59:06,10169,131,questionnaire-mwdx,,6998644,5e6ea8b7445f70000c5c4f0a,2021071,,complete,,5f731353e8352d037459758d,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1536x864,1536x750,Test_Checkpoint,A. Info and Consent,198,,study_3_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,,C_Checkpoint_Grey,,Grey_RFBG,,,,,No,END QUESTIONNAIRE,22384
1,1601377123607,29/09/2020 10:58:43,1601377124135,1,29/09/2020 11:58:44,10169,131,questionnaire-mwdx,,6998646,57c426fa9fe51d00012391f1,2021073,,complete,,5f731351e2865903ce4b9b74,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,Test_Checkpoint,A. Info and Consent,198,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377216651,29/09/2020 11:00:16,1601377216687,1,29/09/2020 12:00:16,10169,131,questionnaire-mwdx,,6998646,57c426fa9fe51d00012391f1,2021073,,complete,,5f731351e2865903ce4b9b74,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,Test_Checkpoint,A. Info and Consent,198,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,consent_1,I confirm that I have read and understood the information provided above and have had the opportunity to ask questions.
3,1601377216950,29/09/2020 11:00:16,1601377216688,1,29/09/2020 12:00:16,10169,131,questionnaire-mwdx,,6998646,57c426fa9fe51d00012391f1,2021073,,complete,,5f731351e2865903ce4b9b74,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,Test_Checkpoint,A. Info and Consent,198,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,No,consent_1-quantised,1
