Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Randomise questionnaire elements?,Question Key,Response
1,1601377366746,29/09/2020 11:02:46,1601377367598,1,29/09/2020 12:02:47,10169,131,questionnaire-rcag,,6998776,597f786b2c08900001963acc,2021067,,complete,,5f73134729c2e603ce8077ea,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377391426,29/09/2020 11:03:11,1601377392308,1,29/09/2020 12:03:12,10169,131,questionnaire-rcag,,6998776,597f786b2c08900001963acc,2021067,,complete,,5f73134729c2e603ce8077ea,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x625,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,24710
1,1601377436924,29/09/2020 11:03:56,1601377435275,1,29/09/2020 12:03:55,10169,131,questionnaire-rcag,,6998814,5d3d9749607ede001a0712df,2021062,,complete,,5f731340c1172404307eefe8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601377467521,29/09/2020 11:04:27,1601377465965,1,29/09/2020 12:04:25,10169,131,questionnaire-rcag,,6998814,5d3d9749607ede001a0712df,2021062,,complete,,5f731340c1172404307eefe8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,30690
1,1601547926582,01/10/2020 10:25:26,1601547927511,1,01/10/2020 11:25:27,10169,131,questionnaire-rcag,,7030516,5f10cb0b3566653f717c29d0,2033290,,complete,,5f75acfb8769e423689cf673,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601547993282,01/10/2020 10:26:33,1601547994235,1,01/10/2020 11:26:34,10169,131,questionnaire-rcag,,7030516,5f10cb0b3566653f717c29d0,2033290,,complete,,5f75acfb8769e423689cf673,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.63,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,66723
1,1601548388187,01/10/2020 10:33:08,1601548387816,10,01/10/2020 20:33:07,10169,131,questionnaire-rcag,,7030781,5ee1da7a1d622e2092c1b056,2033341,,complete,,5f75aea05148a123dc1010c6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601548403457,01/10/2020 10:33:23,1601548403136,10,01/10/2020 20:33:23,10169,131,questionnaire-rcag,,7030781,5ee1da7a1d622e2092c1b056,2033341,,complete,,5f75aea05148a123dc1010c6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,15320
1,1601548610642,01/10/2020 10:36:50,1601548614403,1,01/10/2020 11:36:54,10169,131,questionnaire-rcag,,7030933,5c5c58a23127c800015a7446,2033358,,complete,,5f75af60e9a3ff2321b5aaf4,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1600x900,1280x614,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1601548633278,01/10/2020 10:37:13,1601548637093,1,01/10/2020 11:37:17,10169,131,questionnaire-rcag,,7030933,5c5c58a23127c800015a7446,2033358,,complete,,5f75af60e9a3ff2321b5aaf4,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1600x900,1280x614,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,No,END QUESTIONNAIRE,22690
