Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
1,1601377243763,29/09/2020 11:00:43,1601377243647,1,29/09/2020 12:00:43,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1601377245797,29/09/2020 11:00:45,1601377245607,1,29/09/2020 12:00:45,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,1,1,1,check,script,force_advance,1948.448,,,,0,1,0,,,,,,fullscreen_check,,
3,1601377246201,29/09/2020 11:00:46,1601377246120,1,29/09/2020 12:00:46,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,3,1,1,filler_start_fixation,fixation,fixation,516.1990000000001,,,,0,1,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
4,1601377248748,29/09/2020 11:00:48,1601377248685,1,29/09/2020 12:00:48,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,3,1,2,filler_start_stim,Zone1,response_button_image,2541.830000001937,,line-drawing.png,1,1,0,0,,,,,1,filler_start,line-drawing.png,grey_line_pitcher.png
5,1601377249634,29/09/2020 11:00:49,1601377249551,1,29/09/2020 12:00:49,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,2,2,1,filler_start_fixation,fixation,fixation,449.6199999999999,,,,0,1,0,,,,,1,filler_start,word.png,word_chisel.png
6,1601377252218,29/09/2020 11:00:52,1601377252147,1,29/09/2020 12:00:52,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,2,2,2,filler_start_stim,buttonA,response_button_image,2581.169999903068,,word.png,1,1,0,0,,,,,1,filler_start,word.png,word_chisel.png
7,1601377253140,29/09/2020 11:00:53,1601377253064,1,29/09/2020 12:00:53,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,64,1,1,fixation,fixation,fixation,499.53900000000067,,,,0,1,0,,,,,2,study_2_grey,word.png,word_skunk.png
8,1601377255485,29/09/2020 11:00:55,1601377255323,1,29/09/2020 12:00:55,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,64,1,2,stim_2_grey,buttonA,response_button_image,2244.3200000561774,,word.png,1,1,0,0,,,,,2,study_2_grey,word.png,word_skunk.png
9,1601377256306,29/09/2020 11:00:56,1601377256245,1,29/09/2020 12:00:56,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,16,2,1,fixation,fixation,fixation,499.5059999999994,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pipe.png
10,1601377258763,29/09/2020 11:00:58,1601377258698,1,29/09/2020 12:00:58,10169,131,task-iwo1,,6998717,5f5ccd308e6d034ce34b5abd,2021070,,complete,,5f73135490142603dce4498d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x864,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,16,2,2,stim_2_grey,Zone1,response_button_image,2440.7599999103695,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pipe.png
