Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1601374263349,29/09/2020 10:11:03,1601374263254,1,29/09/2020 11:11:03,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x940,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1601374264833,29/09/2020 10:11:04,1601374264782,1,29/09/2020 11:11:04,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x940,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,1,1,1,Check,script,force_advance,1499.464,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1601374268142,29/09/2020 10:11:08,1601374268110,1,29/09/2020 11:11:08,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,14,1,1,Questions,buttonA,response_button_text,3072.680000012042,,36,1,1,0,0,,,,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
4,1601374269095,29/09/2020 10:11:09,1601374269042,1,29/09/2020 11:11:09,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,14,1,3,Correct,Zone7,timelimit_screen,999.6700000000001,,,,0,1,0,,,1,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
5,1601374269189,29/09/2020 10:11:09,1601374269070,1,29/09/2020 11:11:09,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,14,1,4,Blank,Zone1,timelimit_screen,16.652000000000044,,,,0,1,0,,,1,,1,MathQ,36,<h4>9 x 4 =</h4>,1,36,42,27,38,correct_1,total_1,incorrect_1,<h4>36</h4>
6,1601374270320,29/09/2020 10:11:10,1601374270300,1,29/09/2020 11:11:10,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,1,Questions,buttonA,response_button_text,1138.4800000087125,,16,1,1,0,0,,,,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
7,1601374271323,29/09/2020 10:11:11,1601374271289,1,29/09/2020 11:11:11,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,3,Correct,Zone7,timelimit_screen,999.6190000000006,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
8,1601374271433,29/09/2020 10:11:11,1601374271318,1,29/09/2020 11:11:11,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,4,2,4,Blank,Zone1,timelimit_screen,16.659999999999854,,,,0,1,0,,,1,,1,MathQ,16,<h4>4 x 4 =</h4>,1,16,18,12,20,correct_1,total_1,incorrect_1,<h4>16</h4>
9,1601374273261,29/09/2020 10:11:13,1601374273238,1,29/09/2020 11:11:13,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,17,3,1,Questions,buttonA,response_button_text,1825.524999992922,,28,1,1,0,0,,,,,1,MathQ,28,<h4>7 x 4 = </h4>,1,28,29,30,27,correct_1,total_1,incorrect_1,<h4>28</h4>
10,1601374274253,29/09/2020 10:11:14,1601374274220,1,29/09/2020 11:11:14,10169,131,task-qbcg,,6998078,5f71110321a6d174303a4098,2020757,,complete,,5f73055cc2d25e02bf556aca,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1920x1080,1920x1080,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,Distractor__Spreadsheet,17,3,3,Correct,Zone7,timelimit_screen,999.6039999999994,,,,0,1,0,,,1,,1,MathQ,28,<h4>7 x 4 = </h4>,1,28,29,30,27,correct_1,total_1,incorrect_1,<h4>28</h4>
