Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1591804298940,10/06/2020 15:51:38,1591804300728,1,10/06/2020 16:51:40,19134,4,questionnaire-xbqu,,5552148,cet5w3ti,1548326,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1536x864,1536x750,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1591804334673,10/06/2020 15:52:14,1591804336556,1,10/06/2020 16:52:16,19134,4,questionnaire-xbqu,,5552148,cet5w3ti,1548326,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1536x864,1536x750,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,35828
1,1592534851496,19/06/2020 02:47:31,1592534851217,8,19/06/2020 10:47:31,19134,4,questionnaire-xbqu,,5695839,cncesp7f,1589832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.97,1280x800,1280x721,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1592534899337,19/06/2020 02:48:19,1592534899195,8,19/06/2020 10:48:19,19134,4,questionnaire-xbqu,,5695839,cncesp7f,1589832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.97,1280x800,1280x721,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
3,1592534955033,19/06/2020 02:49:15,1592534954904,8,19/06/2020 10:49:14,19134,4,questionnaire-xbqu,,5695839,cncesp7f,1589832,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.97,1280x800,1280x721,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,55709
1,1593560741324,30/06/2020 23:45:41,1593560741151,-4,30/06/2020 19:45:41,19134,4,questionnaire-xbqu,,5847802,pcwd697d,1644551,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.1,1440x900,1440x748,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1593560793431,30/06/2020 23:46:33,1593560793313,-4,30/06/2020 19:46:33,19134,4,questionnaire-xbqu,,5847802,pcwd697d,1644551,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.1,1440x900,1440x748,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,52162
1,1598022264941,21/08/2020 15:04:24,1598022276004,-5,21/08/2020 10:04:36,19134,4,questionnaire-xbqu,,6578452,y4ox0myz,1878485,,complete,,,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.89,1366x768,1358x617,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,BEGIN QUESTIONNAIRE,
2,1598022328835,21/08/2020 15:05:28,1598022339959,-5,21/08/2020 10:05:39,19134,4,questionnaire-xbqu,,6578452,y4ox0myz,1878485,,complete,,,computer,Desktop or Laptop,Windows 8,Chrome 84.0.4147.89,1366x768,1358x617,Test_Checkpoint,H-1. RFBG__Ins__GREY,3,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,END QUESTIONNAIRE,63956
END OF FILE
