Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
1,1591587713263,08/06/2020 03:41:53,1591587711911,-5,07/06/2020 22:41:51,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x969,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,
2,1591587714576,08/06/2020 03:41:54,1591587713245,-5,07/06/2020 22:41:53,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x969,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,1,1,1,check,script,force_advance,1316.9499999999998,,,,0,1,0,,,,,,fullscreen_check,,
3,1591587715047,08/06/2020 03:41:55,1591587713737,-5,07/06/2020 22:41:53,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,2,1,1,Screen 1,fixation,fixation,499.96500000000015,,,,0,1,0,,,,,,fixation,,
4,1591587717143,08/06/2020 03:41:57,1591587715843,-5,07/06/2020 22:41:55,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,5,1,1,OldNew,old,response_button_image,2086.825000005774,,old.png,1,0,1,0,,,,,1,filler,grey_line_turtle.png,new.png
5,1591587719492,08/06/2020 03:41:59,1591587718172,-5,07/06/2020 22:41:58,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,5,1,2,RFG,old,response_button_image,2121.1549999425188,,recollection.png,1,0,1,0,,,,,1,filler,grey_line_turtle.png,new.png
6,1591587720183,08/06/2020 03:42:00,1591587718869,-5,07/06/2020 22:41:58,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,5,1,3,Fixation,fixation,fixation,500.14500000000044,,,,0,1,0,,,,,1,filler,grey_line_turtle.png,new.png
7,1591587721496,08/06/2020 03:42:01,1591587720191,-5,07/06/2020 22:42:00,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,8,2,1,OldNew,new,response_button_image,1292.5950000062585,,new.png,1,1,0,0,,,,,1,filler,grey_photo_dresser3.png,new.png
8,1591587722192,08/06/2020 03:42:02,1591587720886,-5,07/06/2020 22:42:00,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,8,2,3,Fixation,fixation,fixation,499.9419999999991,,,,0,1,0,,,,,1,filler,grey_photo_dresser3.png,new.png
9,1591587725147,08/06/2020 03:42:05,1591587723844,-5,07/06/2020 22:42:03,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,9,3,1,OldNew,new,response_button_image,2943.444999982603,,new.png,1,1,0,0,,,,,1,filler,word_chisel.png,new.png
10,1591587725850,08/06/2020 03:42:05,1591587724536,-5,07/06/2020 22:42:04,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,9,3,3,Fixation,fixation,fixation,500.021999999999,,,,0,1,0,,,,,1,filler,word_chisel.png,new.png
